KEYCODE,ht,df
16,759,687.0
84,152,192.0
72,127,89.0
69,182,151.0
32,184,290.0
82,134,158.0
73,152,743.0
79,185,472.0
84,208,193.0
83,160,128.0
32,184,240.0
87,223,161.0
69,119,63.0
82,256,191.0
69,112,41.0
32,224,656.0
83,183,184.0
84,159,191.0
65,217,160.0
82,169,280.0
84,168,137.0
69,136,248.0
68,97,72.0
32,176,216.0
66,183,127.0
89,168,169.0
32,136,280.0
78,152,144.0
65,199,240.0
84,120,296.0
73,120,400.0
86,192,144.0
69,135,51.0
82,60,101.0
32,168,176.0
16,480,560.0
8,88,184.0
8,104,152.0
16,392,56.0
32,176,255.0
84,129,160.0
73,121,529.0
8,111,136.0
65,216,232.0
73,136,568.0
87,152,207.0
65,241,353.0
78,168,320.0
69,176,160.0
83,208,208.0
69,183,288.0
190,184,5384.0
16,392,272.0
84,176,120.0
74,95,616.0
8,112,336.0
72,104,95.0
69,112,113.0
32,143,175.0
70,112,88.0
79,152,129.0
82,103,192.0
77,160,120.0
69,271,96.0
83,184,127.0
82,177,377.0
8,88,264.0
8,120,199.0
82,128,176.0
32,161,337.0
77,160,168.0
73,152,152.0
78,176,144.0
73,151,191.0
83,129,352.0
84,96,217.0
69,120,72.0
82,159,159.0
32,161,144.0
73,129,96.0
83,128,105.0
32,159,160.0
65,128,231.0
67,97,184.0
67,121,89.0
85,175,264.0
83,200,128.0
69,199,383.0
68,113,201.0
32,151,200.0
79,136,120.0
70,103,136.0
32,119,271.0
82,208,177.0
69,152,335.0
67,113,241.0
69,111,175.0
73,113,249.0
86,120,224.0
73,111,232.0
78,120,136.0
71,96,152.0
32,136,424.0
83,159,136.0
69,119,376.0
86,143,191.0
69,113,169.0
78,159,151.0
32,168,409.0
66,152,496.0
73,103,239.0
76,81,169.0
76,135,104.0
73,224,208.0
79,184,207.0
78,225,177.0
32,159,168.0
76,167,176.0
73,176,256.0
82,175,232.0
65,159,191.0
190,160,5168.0
16,265,161.0
73,159,120.0
32,176,239.0
67,169,145.0
65,175,64.0
78,183,152.0
32,144,255.0
66,153,128.0
69,121,104.0
32,185,201.0
84,72,73.0
72,118,142.0
69,104,56.0
82,224,184.0
69,144,152.0
32,185,217.0
87,112,136.0
73,111,167.0
84,97,121.0
72,111,207.0
73,105,192.0
78,152,121.0
32,127,152.0
84,87,79.0
72,89,112.0
69,97,81.0
32,144,280.0
70,39,112.0
72,96,472.0
8,71,160.0
8,87,120.0
70,87,703.0
8,97,409.0
72,111,175.0
79,137,81.0
85,159,136.0
82,135,223.0
190,129,3601.0
16,329,288.0
65,136,744.0
8,103,296.0
76,128,304.0
83,128,152.0
79,103,319.0
188,112,489.0
32,135,384.0
80,119,271.0
76,137,377.0
69,191,167.0
65,33,632.0
83,160,120.0
69,152,176.0
32,169,185.0
76,112,223.0
79,65,169.0
79,87,159.0
68,88,729.0
8,79,352.0
75,103,256.0
