KEYCODE,ht,df
16,226,152.0
73,83,314.0
222,64,310.0
77,61,159.0
32,76,303.0
79,51,171.0
80,61,388.0
84,91,1082.0
73,68,217.0
77,71,214.0
73,61,196.0
83,77,344.0
84,67,215.0
73,64,314.0
67,69,1062.0
188,47,180.0
32,70,364.0
89,56,197.0
69,70,237.0
83,81,578.0
188,64,228.0
32,70,726.0
66,73,202.0
85,72,176.0
84,68,147.0
32,68,536.0
67,83,185.0
79,59,214.0
78,77,1320.0
70,69,175.0
73,52,294.0
68,64,230.0
69,75,147.0
78,75,205.0
84,75,1290.0
188,71,190.0
32,69,189.0
78,53,251.0
79,56,348.0
190,63,4154.0
16,266,175.0
84,81,252.0
72,52,318.0
69,70,120.0
32,75,319.0
66,61,262.0
85,53,221.0
83,81,345.0
69,62,208.0
83,82,717.0
32,71,250.0
87,67,178.0
73,46,215.0
76,59,135.0
76,82,238.0
32,69,217.0
66,48,133.0
69,89,119.0
32,48,382.0
73,60,289.0
68,59,225.0
69,68,150.0
78,67,199.0
84,53,175.0
73,51,250.0
70,71,164.0
73,48,186.0
69,63,241.0
68,69,261.0
32,74,712.0
66,77,366.0
89,61,149.0
32,81,188.0
84,61,130.0
72,39,1227.0
69,80,208.0
73,53,156.0
82,63,171.0
32,65,332.0
67,57,184.0
73,65,209.0
84,60,148.0
73,36,191.0
69,67,304.0
83,59,392.0
32,86,844.0
79,64,245.0
70,67,139.0
32,49,340.0
79,40,224.0
82,66,194.0
73,51,270.0
71,67,130.0
73,59,263.0
78,49,610.0
190,69,3287.0
16,184,130.0
77,76,293.0
79,59,259.0
82,75,225.0
69,77,1077.0
79,68,255.0
86,43,266.0
69,65,216.0
82,66,170.0
32,89,803.0
69,40,649.0
8,61,222.0
87,68,204.0
69,72,128.0
32,66,290.0
72,48,147.0
65,86,187.0
86,51,145.0
69,75,142.0
32,85,1082.0
84,79,117.0
72,62,150.0
69,71,113.0
32,79,135.0
70,69,254.0
69,54,148.0
69,79,165.0
76,61,208.0
73,44,210.0
78,77,144.0
71,77,667.0
32,81,556.0
84,62,119.0
72,59,280.0
65,73,321.0
84,64,162.0
32,71,159.0
87,66,218.0
69,69,214.0
32,67,705.0
65,73,290.0
82,67,189.0
69,89,149.0
32,81,139.0
70,62,209.0
73,58,212.0
78,47,122.0
65,77,200.0
76,46,124.0
76,115,196.0
89,69,192.0
32,89,1108.0
73,57,214.0
78,48,177.0
32,87,314.0
79,66,255.0
85,59,282.0
82,73,124.0
32,56,288.0
79,31,252.0
87,68,209.0
78,47,205.0
32,65,744.0
67,76,236.0
79,86,241.0
85,69,258.0
78,58,410.0
84,65,192.0
82,68,262.0
89,55,291.0
190,58,3290.0
16,254,193.0
73,75,412.0
222,66,299.0
76,70,135.0
76,111,256.0
32,77,119.0
84,69,330.0
65,77,149.0
76,59,178.0
75,60,181.0
32,109,170.0
84,71,148.0
79,44,257.0
32,100,1119.0
89,83,109.0
79,73,135.0
85,77,112.0
32,90,249.0
79,61,219.0
78,51,169.0
32,79,256.0
16,142,115.0
77,78,208.0
79,45,236.0
78,51,323.0
68,61,229.0
65,73,466.0
89,75,312.0
190,70,2425.0
16,359,318.0
67,65,275.0
65,71,184.0
76,64,135.0
76,102,252.0
32,65,194.0
77,64,162.0
69,61,116.0
32,75,1193.0
73,62,431.0
70,79,147.0
32,83,188.0
89,81,139.0
79,43,128.0
85,81,224.0
32,34,1456.0
72,47,133.0
65,82,213.0
86,75,144.0
69,69,111.0
32,75,172.0
65,84,202.0
78,56,304.0
89,73,109.0
32,71,580.0
81,80,153.0
85,59,200.0
69,71,199.0
83,98,298.0
84,66,113.0
73,68,187.0
79,82,149.0
78,62,496.0
83,77,368.0
190,63,2845.0
16,651,551.0
73,89,290.0
32,48,860.0
87,72,319.0
73,62,272.0
76,54,138.0
76,84,227.0
32,79,233.0
66,53,170.0
69,67,114.0
32,52,241.0
66,38,124.0
65,69,318.0
67,65,185.0
75,58,196.0
32,75,628.0
16,478,427.0
70,66,265.0
82,55,151.0
73,77,398.0
68,64,242.0
65,60,321.0
89,58,265.0
190,68,2625.0
16,619,525.0
83,84,334.0
79,66,220.0
85,66,168.0
84,67,103.0
72,58,163.0
69,69,198.0
82,66,192.0
78,49,179.0
32,59,466.0
70,67,192.0
79,71,776.0
82,65,308.0
67,61,276.0
69,57,235.0
83,73,739.0
32,71,311.0
83,57,226.0
65,75,207.0
73,77,192.0
68,77,208.0
32,69,1222.0
84,70,141.0
72,66,225.0
69,75,280.0
89,69,111.0
32,67,232.0
72,72,142.0
65,60,265.0
68,77,216.0
32,79,645.0
83,75,178.0
72,55,447.0
79,69,236.0
84,72,227.0
32,67,733.0
68,64,209.0
79,62,214.0
87,67,318.0
78,53,261.0
32,61,835.0
84,79,134.0
72,69,161.0
82,75,250.0
69,69,159.0
69,87,241.0
32,87,636.0
78,55,327.0
79,72,282.0
82,65,272.0
84,59,141.0
72,75,197.0
69,65,221.0
82,61,217.0
78,62,417.0
32,71,658.0
87,54,216.0
65,66,294.0
82,68,327.0
80,65,218.0
76,58,139.0
65,66,243.0
78,87,213.0
69,69,231.0
83,85,1230.0
190,58,3526.0
16,264,187.0
65,86,296.0
82,63,194.0
69,87,159.0
32,96,445.0
89,77,118.0
79,63,145.0
85,61,149.0
32,64,359.0
71,43,120.0
79,58,203.0
73,59,209.0
78,64,149.0
71,65,111.0
32,72,162.0
84,58,139.0
79,34,200.0
32,73,201.0
