KEYCODE,ht,df
16,275,190.0
67,163,303.0
65,174,236.0
78,77,170.0
32,217,643.0
89,81,160.0
79,135,135.0
85,70,195.0
32,92,581.0
86,108,264.0
82,126,189.0
73,90,308.0
8,68,162.0
8,72,119.0
8,54,491.0
66,78,312.0
82,82,129.0
73,86,635.0
78,101,242.0
71,92,170.0
32,59,340.0
8,67,145.0
8,72,134.0
8,55,979.0
71,106,153.0
32,88,605.0
84,146,177.0
72,73,825.0
69,81,222.0
83,293,449.0
69,140,219.0
32,107,512.0
84,142,174.0
79,119,166.0
32,58,1342.0
101,32,0.0
100,81,1444.0
8,55,102.0
8,68,551.0
100,80,205.0
105,60,1030.0
67,109,1080.0
98,43,0.0
97,56,524.0
8,59,153.0
8,72,574.0
8,49,535.0
16,296,218.0
67,202,626.0
97,84,1276.0
16,171,171.0
191,73,1106.0
8,83,725.0
32,73,260.0
191,81,1804.0
37,47,172.0
37,43,150.0
37,45,149.0
37,48,1074.0
40,66,1240.0
8,43,167.0
8,42,575.0
8,51,1917.0
97,82,441.0
32,59,3288.0
8,85,1433.0
191,70,304.0
32,65,740.0
8,59,356.0
8,102,666.0
17,78,249.0
16,141,818.0
16,156,109.0
191,109,18260.0
16,484,484.0
68,129,238.0
79,203,203.0
78,169,231.0
84,125,548.0
8,64,174.0
8,37,1874.0
16,200,156.0
222,91,922.0
8,117,398.0
222,74,669.0
89,102,822.0
8,49,583.0
8,82,160.0
8,87,1342.0
222,64,1129.0
84,115,162.0
32,134,684.0
85,87,165.0
83,166,151.0
69,150,196.0
32,106,859.0
16,401,345.0
66,103,508.0
69,141,204.0
78,106,215.0
78,53,238.0
69,90,277.0
89,95,1018.0
8,62,389.0
84,57,1123.0
84,98,301.0
32,97,503.0
89,110,690.0
8,74,167.0
8,57,556.0
32,100,256.0
84,123,154.0
72,89,168.0
73,120,183.0
83,166,278.0
32,93,797.0
87,95,189.0
69,74,121.0
69,85,239.0
75,97,471.0
190,108,5686.0
16,240,154.0
73,117,492.0
87,124,124.0
79,165,196.0
85,105,293.0
76,114,787.0
68,93,186.0
32,91,813.0
8,47,156.0
8,48,152.0
8,41,119.0
8,54,147.0
8,57,150.0
8,40,465.0
32,89,432.0
87,106,137.0
