KEYCODE,ht,df
16,271,160.0
84,105,264.0
72,104,63.0
69,88,129.0
32,120,144.0
65,111,232.0
86,112,151.0
73,144,137.0
65,144,168.0
84,111,80.0
73,191,71.0
79,97,113.0
78,120,87.0
32,136,184.0
67,105,97.0
79,111,191.0
76,72,136.0
76,105,97.0
69,71,159.0
71,128,88.0
69,105,97.0
32,128,231.0
72,112,80.0
65,120,89.0
68,104,80.0
32,128,168.0
65,143,135.0
76,105,120.0
82,177,56.0
69,145,113.0
65,127,112.0
68,103,184.0
89,96,71.0
32,145,368.0
84,137,65.0
82,223,487.0
65,96,184.0
73,145,193.0
78,88,104.0
69,80,159.0
68,89,81.0
32,120,176.0
80,79,296.0
73,96,239.0
76,98,184.0
79,64,89.0
84,120,128.0
83,72,143.0
190,80,320.0
32,65,5768.0
16,384,336.0
79,88,225.0
78,128,104.0
32,136,79.0
84,136,113.0
72,143,87.0
69,73,64.0
32,113,160.0
80,144,80.0
76,160,129.0
65,135,159.0
78,104,96.0
69,80,176.0
188,97,104.0
32,144,192.0
68,121,65.0
79,96,199.0
79,89,160.0
82,40,64.0
82,88,832.0
8,88,113.0
83,103,112.0
32,127,280.0
67,112,103.0
76,121,449.0
79,128,151.0
83,136,144.0
73,145,88.0
78,128,97.0
71,80,232.0
190,104,7911.0
49,89,128.0
190,120,145.0
53,103,167.0
32,160,288.0
77,136,145.0
73,127,263.0
76,81,152.0
76,96,208.0
73,210,96.0
79,115,105.0
78,151,120.0
32,119,344.0
86,112,143.0
73,121,304.0
83,112,144.0
73,186,393.0
84,103,136.0
79,137,119.0
82,168,392.0
83,104,96.0
32,128,240.0
87,88,96.0
73,96,201.0
76,63,144.0
76,119,103.0
32,152,120.0
70,161,249.0
76,111,183.0
79,72,144.0
79,96,81.0
68,103,112.0
32,143,359.0
16,240,137.0
65,127,240.0
84,103,215.0
76,120,305.0
65,104,175.0
78,97,393.0
84,112,103.0
65,88,120.0
32,104,249.0
69,39,295.0
65,128,104.0
67,104,112.0
72,128,161.0
32,167,183.0
68,153,104.0
65,128,161.0
89,103,87.0
32,112,144.0
79,128,88.0
70,104,88.0
32,168,144.0
84,104,88.0
72,120,88.0
69,96,104.0
32,120,144.0
79,120,305.0
8,95,103.0
16,168,88.0
79,96,216.0
76,105,192.0
89,96,352.0
77,120,464.0
80,97,448.0
73,104,176.0
67,144,96.0
83,128,272.0
190,96,2448.0
16,288,192.0
73,120,272.0
222,72,232.0
76,89,176.0
76,88,216.0
32,152,280.0
71,104,96.0
73,104,120.0
86,128,96.0
69,88,96.0
32,129,120.0
73,112,64.0
84,113,104.0
32,144,568.0
84,120,88.0
79,128,89.0
32,159,87.0
89,120,96.0
79,136,72.0
85,129,88.0
32,152,176.0
84,121,80.0
79,104,208.0
77,89,152.0
77,96,424.0
79,128,136.0
82,104,80.0
79,136,128.0
87,88,312.0
190,104,2600.0
16,240,184.0
73,112,152.0
70,104,80.0
32,144,128.0
84,112,72.0
72,136,104.0
69,88,73.0
32,120,151.0
16,224,128.0
80,104,192.0
69,80,113.0
78,79,175.0
83,144,176.0
75,121,128.0
69,104,112.0
83,128,136.0
32,104,185.0
72,119,47.0
65,160,664.0
86,120,112.0
69,98,168.0
32,161,152.0
65,112,104.0
78,128,360.0
89,104,136.0
32,136,208.0
76,96,200.0
85,88,104.0
67,112,144.0
75,120,112.0
32,145,104.0
65,128,120.0
84,104,88.0
32,144,168.0
65,104,112.0
76,64,120.0
76,104,192.0
188,120,80.0
32,176,264.0
84,120,81.0
72,103,119.0
69,72,144.0
89,112,240.0
32,80,272.0
8,41,160.0
8,72,257.0
32,111,279.0
67,120,80.0
79,120,73.0
85,95,151.0
76,80,64.0
68,104,80.0
32,144,136.0
66,104,64.0
69,104,112.0
32,120,144.0
85,96,192.0
78,88,352.0
83,152,120.0
84,96,384.0
79,120,336.0
80,129,264.0
80,80,177.0
65,111,335.0
66,104,296.0
76,113,96.0
69,80,160.0
190,80,2824.0
16,1240,1120.0
89,96,256.0
69,136,97.0
83,103,95.0
32,136,336.0
16,240,88.0
73,104,184.0
32,144,136.0
65,128,120.0
77,128,96.0
32,120,224.0
67,104,48.0
79,136,128.0
77,120,168.0
73,128,72.0
78,136,80.0
71,96,80.0
32,128,136.0
16,48,256.0
84,96,137.0
87,87,143.0
73,152,272.0
67,153,144.0
69,105,176.0
190,104,2152.0
16,296,224.0
67,120,192.0
65,105,96.0
78,136,104.0
32,160,112.0
89,113,104.0
79,160,88.0
85,129,88.0
32,152,144.0
87,96,408.0
65,136,160.0
73,136,96.0
84,112,209.0
32,143,239.0
85,80,176.0
78,160,152.0
73,65,544.0
8,81,72.0
84,96,144.0
73,112,209.0
76,119,96.0
32,151,231.0
16,232,112.0
77,112,176.0
79,80,144.0
78,96,80.0
68,136,88.0
65,120,128.0
89,88,208.0
16,184,120.0
191,32,448.0
8,64,2016.0
16,272,184.0
73,112,192.0
32,168,257.0
84,119,71.0
72,120,65.0
73,119,159.0
78,144,88.0
75,136,120.0
