KEYCODE,ht,df
85,54,698.0
83,56,134.0
73,85,163.0
78,77,170.0
71,39,1464.0
8,656,918.0
16,219,201.0
85,64,337.0
83,64,95.0
73,65,143.0
78,70,156.0
71,50,382.0
32,68,287.0
16,187,172.0
83,75,358.0
84,115,776.0
79,79,682.0
69,77,600.0
82,81,547.0
78,69,241.0
69,93,124.0
82,72,292.0
32,56,147.0
73,82,175.0
78,91,500.0
32,77,1034.0
89,62,171.0
79,89,144.0
85,61,189.0
82,58,247.0
32,63,221.0
83,58,199.0
84,76,595.0
65,66,302.0
82,65,887.0
84,62,865.0
73,50,144.0
78,89,173.0
71,66,144.0
32,73,215.0
76,73,344.0
73,80,442.0
78,56,325.0
69,67,459.0
85,62,1001.0
8,43,408.0
80,84,513.0
32,57,365.0
87,74,722.0
79,86,214.0
85,56,363.0
76,68,179.0
68,50,161.0
32,72,204.0
66,69,181.0
69,60,170.0
32,70,181.0
65,55,212.0
32,76,218.0
82,75,454.0
73,57,747.0
83,45,265.0
75,94,220.0
89,76,247.0
32,78,169.0
77,78,173.0
79,55,435.0
86,54,165.0
69,47,361.0
190,63,8160.0
80,69,227.0
76,90,342.0
69,66,144.0
65,85,182.0
83,57,136.0
69,73,418.0
32,68,255.0
76,66,226.0
69,168,831.0
84,62,521.0
32,60,216.0
85,59,171.0
83,57,135.0
32,72,168.0
75,115,461.0
78,76,169.0
79,65,143.0
87,66,222.0
32,81,299.0
65,99,546.0
83,67,537.0
65,64,145.0
80,68,224.0
186,63,842.0
8,40,366.0
190,74,2490.0
65,72,181.0
82,75,169.0
69,74,202.0
32,70,210.0
89,61,159.0
79,85,132.0
85,55,372.0
32,67,209.0
73,89,167.0
78,75,187.0
32,71,165.0
84,57,158.0
65,65,712.0
8,62,531.0
79,59,233.0
68,90,184.0
65,58,251.0
89,64,911.0
16,247,140.0
191,60,2856.0
84,59,735.0
8,43,108.0
16,202,171.0
84,81,205.0
72,44,436.0
65,73,152.0
78,61,215.0
75,54,263.0
83,49,966.0
32,65,159.0
70,56,71.0
79,82,115.0
82,70,117.0
32,85,163.0
84,57,72.0
72,65,117.0
69,68,117.0
32,84,180.0
81,72,213.0
85,59,207.0
73,68,257.0
67,65,144.0
75,68,386.0
32,83,278.0
84,73,278.0
85,63,486.0
82,78,411.0
78,38,1610.0
65,61,217.0
82,61,185.0
79,106,360.0
85,68,258.0
78,59,168.0
68,58,263.0
190,78,3385.0
68,51,603.0
8,37,418.0
16,47,179.0
16,531,531.0
68,70,136.0
73,45,375.0
68,48,575.0
8,38,133.0
8,51,136.0
8,54,272.0
16,175,175.0
68,58,327.0
73,81,175.0
68,75,186.0
32,71,211.0
89,64,166.0
79,62,152.0
85,58,502.0
32,75,200.0
68,75,90.0
73,54,335.0
70,52,147.0
70,40,514.0
69,82,129.0
82,63,288.0
32,107,170.0
70,57,168.0
82,67,43.0
79,30,93.0
79,131,1154.0
8,49,1090.0
77,71,222.0
32,59,139.0
77,78,182.0
69,56,576.0
16,211,108.0
191,72,2654.0
16,189,99.0
77,58,168.0
85,61,202.0
67,55,149.0
72,52,246.0
32,63,238.0
66,56,182.0
69,90,217.0
82,41,184.0
84,42,658.0
8,52,130.0
8,56,149.0
8,56,560.0
84,47,125.0
84,72,181.0
69,63,126.0
82,51,429.0
32,72,301.0
84,72,732.0
72,58,137.0
65,81,119.0
78,74,227.0
32,58,297.0
67,78,161.0
65,77,199.0
82,54,151.0
82,37,1294.0
89,60,171.0
73,58,151.0
78,72,183.0
71,57,181.0
32,76,141.0
65,53,927.0
32,80,165.0
76,63,318.0
65,60,172.0
80,89,240.0
84,67,147.0
79,77,250.0
80,71,838.0
191,56,1058.0
8,50,313.0
190,66,3063.0
16,203,158.0
73,77,326.0
84,71,1054.0
222,57,153.0
83,39,450.0
32,73,246.0
84,61,139.0
79,54,134.0
79,70,163.0
32,74,154.0
73,55,246.0
78,59,397.0
86,68,177.0
79,78,212.0
76,49,183.0
69,75,769.0
8,59,458.0
86,51,144.0
69,57,182.0
68,59,247.0
32,79,302.0
79,108,179.0
85,57,192.0
84,41,748.0
8,49,145.0
8,50,395.0
84,70,586.0
32,69,273.0
72,49,191.0
69,73,119.0
82,71,214.0
69,59,311.0
32,66,130.0
73,69,163.0
78,70,195.0
32,68,484.0
16,173,157.0
83,69,225.0
65,47,360.0
84,86,242.0
85,63,535.0
82,62,249.0
68,63,157.0
65,106,200.0
89,72,243.0
32,65,240.0
87,58,230.0
73,109,218.0
84,62,413.0
72,82,197.0
32,70,290.0
69,79,203.0
86,76,267.0
69,142,429.0
82,34,130.0
89,68,429.0
66,57,230.0
79,61,248.0
68,63,175.0
89,69,341.0
32,65,349.0
81,67,1327.0
85,75,202.0
65,75,266.0
76,74,519.0
73,58,232.0
70,61,154.0
73,57,843.0
8,44,404.0
89,62,348.0
73,64,142.0
78,74,183.0
71,41,1036.0
190,55,4013.0
16,205,189.0
80,62,218.0
76,78,735.0
69,77,155.0
65,74,167.0
83,57,151.0
69,79,341.0
32,80,300.0
80,98,129.0
65,71,183.0
83,54,133.0
83,39,212.0
32,76,362.0
65,67,254.0
76,79,613.0
78,66,633.0
8,47,304.0
79,66,144.0
78,70,199.0
71,64,403.0
32,70,430.0
77,74,201.0
89,62,215.0
32,73,174.0
84,36,99.0
72,54,150.0
65,69,149.0
