KEYCODE,ht,df
87,113,528.0
8,62,34.0
16,338,515.0
87,129,208.0
69,102,1162.0
8,111,192.0
8,72,102.0
16,442,237.0
87,113,385.0
69,129,504.0
32,200,171.0
77,126,216.0
85,103,141.0
83,72,204.0
84,180,310.0
32,137,280.0
66,169,230.0
69,123,281.0
32,97,308.0
67,149,165.0
79,168,157.0
78,131,176.0
83,120,1434.0
73,119,328.0
83,80,382.0
84,97,102.0
69,109,173.0
78,134,161.0
84,160,392.0
190,74,4192.0
16,384,291.0
87,121,234.0
69,103,309.0
32,105,189.0
65,103,465.0
82,143,173.0
69,86,181.0
32,114,176.0
71,128,277.0
79,212,126.0
73,112,216.0
78,131,147.0
70,94,430.0
32,129,366.0
84,117,173.0
79,117,216.0
32,97,170.0
83,51,133.0
69,99,203.0
78,106,130.0
68,152,1205.0
8,88,161.0
8,78,148.0
8,65,149.0
8,63,144.0
8,60,144.0
8,77,164.0
8,62,163.0
8,77,164.0
8,86,756.0
71,77,127.0
32,114,136.0
84,138,153.0
79,118,273.0
32,105,195.0
83,91,173.0
69,105,266.0
78,91,141.0
68,120,519.0
32,143,258.0
83,89,153.0
79,123,192.0
77,112,125.0
69,88,150.0
32,108,394.0
77,160,167.0
79,180,134.0
78,144,159.0
69,106,241.0
89,163,538.0
32,121,261.0
84,117,159.0
79,117,226.0
32,109,751.0
65,126,375.0
32,146,493.0
70,114,249.0
85,154,179.0
78,117,82.0
68,180,488.0
32,77,218.0
84,166,196.0
79,111,263.0
32,112,346.0
72,120,192.0
69,152,156.0
76,207,636.0
80,97,414.0
32,108,478.0
84,117,198.0
72,112,116.0
69,106,238.0
32,100,621.0
67,77,166.0
73,155,375.0
8,131,209.0
8,29,325.0
86,103,490.0
73,143,181.0
67,112,233.0
84,131,226.0
73,152,301.0
77,92,161.0
83,127,1035.0
190,94,2829.0
16,772,666.0
66,79,281.0
69,120,349.0
32,100,447.0
66,68,195.0
65,149,265.0
67,157,192.0
75,129,332.0
32,112,309.0
84,140,307.0
79,99,214.0
77,71,878.0
79,100,209.0
82,97,193.0
82,59,155.0
79,120,164.0
87,193,348.0
32,125,153.0
65,129,187.0
78,117,309.0
68,106,226.0
32,221,166.0
77,169,131.0
65,101,210.0
89,120,210.0
66,132,136.0
69,140,505.0
32,148,207.0
87,143,318.0
69,124,337.0
32,118,499.0
67,111,195.0
65,138,182.0
78,129,272.0
32,112,647.0
86,125,297.0
73,97,113.0
83,109,114.0
73,97,238.0
84,148,490.0
190,114,295.0
32,97,591.0
8,109,2689.0
16,324,177.0
73,84,251.0
32,120,360.0
87,112,179.0
79,211,165.0
85,114,227.0
76,145,331.0
68,138,513.0
32,106,218.0
65,55,258.0
83,109,193.0
83,103,150.0
85,109,258.0
77,125,210.0
69,94,164.0
32,140,190.0
84,105,135.0
72,227,160.0
73,180,169.0
83,111,238.0
32,106,153.0
87,126,267.0
69,103,127.0
69,114,448.0
75,128,317.0
32,120,349.0
65,89,402.0
8,120,210.0
83,106,286.0
79,86,187.0
77,117,141.0
69,98,244.0
84,88,243.0
73,129,227.0
77,114,138.0
69,129,678.0
190,122,3088.0
16,421,329.0
71,166,248.0
69,105,223.0
84,95,315.0
32,125,314.0
84,91,442.0
8,114,524.0
87,77,308.0
73,103,128.0
84,85,192.0
72,117,436.0
32,129,309.0
16,745,670.0
68,118,488.0
65,126,852.0
86,102,232.0
73,134,138.0
68,155,491.0
32,109,133.0
16,453,280.0
76,136,283.0
85,114,218.0
78,131,210.0
68,117,830.0
190,97,2990.0
16,524,331.0
73,116,1569.0
222,97,1043.0
76,79,126.0
76,94,215.0
32,94,161.0
83,84,173.0
69,103,147.0
78,152,185.0
68,157,323.0
32,109,283.0
77,189,548.0
8,100,592.0
89,83,178.0
79,246,474.0
85,100,320.0
32,109,275.0
77,174,1272.0
73,103,218.0
78,191,163.0
85,148,949.0
84,111,127.0
69,86,207.0
83,169,950.0
190,135,3350.0
16,519,340.0
84,133,597.0
8,123,453.0
16,643,490.0
87,128,399.0
65,126,213.0
72,114,201.0
84,117,294.0
32,112,391.0
73,97,153.0
83,86,102.0
32,120,204.0
89,125,99.0
79,255,186.0
85,120,241.0
82,106,246.0
32,129,332.0
73,91,173.0
83,100,295.0
83,103,266.0
85,140,199.0
69,114,362.0
32,140,148.0
83,97,179.0
73,111,147.0
82,103,359.0
16,382,214.0
191,131,3427.0
16,548,389.0
65,131,342.0
32,126,205.0
83,108,227.0
84,122,79.0
65,109,425.0
84,106,306.0
69,137,377.0
32,123,219.0
83,100,272.0
85,82,467.0
80,188,273.0
82,185,171.0
69,143,544.0
77,126,207.0
69,88,510.0
32,148,218.0
67,109,272.0
79,266,197.0
85,140,544.0
82,109,207.0
84,131,556.0
32,154,685.0
74,120,182.0
85,146,326.0
78,143,173.0
68,100,178.0
71,149,185.0
69,111,566.0
32,146,318.0
73,131,156.0
83,80,269.0
32,137,371.0
69,89,479.0
88,77,271.0
80,122,111.0
69,120,1433.0
88,101,740.0
8,142,130.0
67,106,238.0
84,152,304.0
69,157,612.0
68,86,963.0
32,117,445.0
84,85,138.0
79,134,266.0
32,120,131.0
82,194,369.0
85,109,836.0
76,125,181.0
69,111,147.0
