KEYCODE,ht,df
16,349,263.0
73,86,239.0
32,100,232.0
78,85,177.0
69,74,154.0
69,86,216.0
68,84,124.0
32,81,218.0
84,64,214.0
79,83,232.0
32,86,216.0
76,71,185.0
73,86,212.0
78,75,196.0
75,79,193.0
32,72,228.0
84,76,178.0
72,98,198.0
69,100,184.0
77,61,156.0
32,99,230.0
85,75,224.0
80,79,225.0
32,86,826.0
84,99,400.0
79,82,216.0
32,83,216.0
84,68,184.0
72,84,184.0
69,100,178.0
32,58,362.0
16,351,282.0
84,84,173.0
65,111,195.0
71,81,158.0
71,91,223.0
32,85,468.0
68,85,172.0
69,81,162.0
65,102,238.0
76,66,302.0
190,82,4746.0
16,320,251.0
84,85,199.0
72,88,201.0
73,86,339.0
83,100,147.0
32,85,270.0
84,85,265.0
79,72,544.0
8,66,264.0
73,81,200.0
77,83,200.0
69,83,122.0
32,63,1463.0
16,303,205.0
73,83,518.0
222,83,632.0
77,88,169.0
32,115,200.0
77,91,200.0
79,91,299.0
82,72,182.0
69,89,137.0
32,81,154.0
67,119,193.0
79,90,200.0
77,75,566.0
70,80,261.0
79,83,169.0
82,98,176.0
84,75,153.0
65,122,225.0
66,57,229.0
76,68,149.0
69,102,198.0
32,57,654.0
65,134,257.0
78,81,196.0
68,86,147.0
32,58,178.0
65,115,450.0
87,82,218.0
65,96,171.0
82,62,294.0
69,85,270.0
32,80,668.0
79,78,240.0
68,45,466.0
8,79,209.0
70,118,191.0
32,80,199.0
65,128,158.0
32,74,1199.0
76,63,186.0
79,61,341.0
84,74,235.0
32,87,201.0
77,86,192.0
79,94,328.0
82,69,142.0
69,94,171.0
32,74,853.0
83,80,158.0
73,84,236.0
84,68,168.0
85,64,299.0
65,115,286.0
84,95,265.0
73,82,184.0
79,83,202.0
78,98,401.0
83,87,383.0
190,83,3213.0
16,306,193.0
65,144,237.0
82,71,159.0
69,96,128.0
32,84,1025.0
89,80,249.0
79,65,201.0
85,83,800.0
8,122,231.0
8,91,654.0
85,90,250.0
32,81,472.0
71,103,247.0
79,80,185.0
73,84,238.0
78,81,201.0
71,80,181.0
32,99,299.0
84,85,169.0
79,68,215.0
32,85,314.0
67,75,161.0
65,144,247.0
76,68,138.0
76,80,305.0
16,292,219.0
191,78,3384.0
16,301,201.0
67,100,215.0
65,100,558.0
78,81,166.0
32,100,261.0
89,104,161.0
79,95,209.0
85,93,218.0
32,86,423.0
87,100,197.0
65,132,220.0
73,84,187.0
84,97,193.0
32,71,810.0
85,99,213.0
78,103,192.0
84,100,163.0
73,80,211.0
76,86,219.0
32,85,205.0
77,82,452.0
8,82,228.0
16,223,173.0
77,82,190.0
79,93,194.0
78,101,192.0
68,97,208.0
65,133,169.0
89,82,565.0
16,320,239.0
191,100,8165.0
16,345,268.0
83,138,245.0
69,88,169.0
69,82,585.0
188,97,178.0
32,105,403.0
87,101,206.0
69,81,180.0
32,81,373.0
16,292,172.0
65,167,260.0
77,98,202.0
69,101,253.0
82,79,334.0
73,81,313.0
67,86,170.0
65,117,437.0
78,88,164.0
83,107,154.0
32,79,749.0
72,101,188.0
65,134,246.0
68,99,200.0
32,84,223.0
71,79,262.0
79,87,620.0
84,83,174.0
84,94,572.0
69,73,211.0
78,79,199.0
32,102,201.0
83,108,277.0
79,104,386.0
82,102,187.0
84,82,228.0
32,90,594.0
79,98,257.0
70,102,187.0
32,73,240.0
16,269,207.0
68,93,554.0
73,75,257.0
83,102,217.0
84,89,240.0
82,98,185.0
65,124,663.0
8,84,185.0
8,84,153.0
8,99,178.0
8,87,169.0
8,85,184.0
8,96,820.0
68,103,207.0
73,96,178.0
83,94,218.0
84,85,200.0
82,84,181.0
65,151,222.0
67,93,231.0
84,86,138.0
69,100,206.0
68,94,767.0
190,79,4787.0
16,295,208.0
67,102,194.0
65,122,205.0
78,104,209.0
32,96,351.0
89,87,200.0
79,102,215.0
85,84,215.0
32,100,184.0
83,132,216.0
85,85,300.0
80,84,169.0
80,83,184.0
76,91,179.0
69,105,207.0
77,84,167.0
69,90,105.0
78,84,217.0
84,80,216.0
32,82,237.0
84,67,159.0
72,88,173.0
69,103,151.0
32,73,172.0
65,145,176.0
78,86,170.0
83,100,315.0
87,101,216.0
69,88,205.0
82,79,198.0
32,84,1107.0
84,82,182.0
79,77,233.0
32,84,261.0
84,77,195.0
72,86,148.0
69,99,153.0
32,85,488.0
86,78,265.0
73,79,194.0
83,104,221.0
65,117,199.0
32,84,1267.0
81,105,437.0
85,86,215.0
69,71,208.0
83,83,179.0
84,87,301.0
73,72,239.0
79,88,569.0
78,65,443.0
16,307,223.0
191,99,3929.0
16,324,238.0
78,100,295.0
69,104,255.0
88,113,213.0
84,88,224.0
32,97,249.0
84,86,170.0
73,100,231.0
77,100,185.0
69,93,156.0
32,78,462.0
65,132,171.0
83,115,248.0
75,69,215.0
32,85,671.0
16,229,199.0
74,100,201.0
73,84,200.0
77,84,184.0
32,101,216.0
84,85,166.0
79,71,219.0
32,84,263.0
16,213,190.0
67,88,174.0
65,93,233.0
76,79,146.0
76,86,667.0
8,85,200.0
8,86,196.0
8,75,180.0
8,79,614.0
67,100,167.0
65,110,208.0
76,81,163.0
76,81,208.0
32,93,203.0
77,88,292.0
69,80,262.0
190,87,4432.0
16,331,243.0
73,88,234.0
32,93,212.0
77,99,151.0
69,115,247.0
65,143,192.0
78,111,250.0
84,99,177.0
32,88,316.0
84,104,140.0
79,99,231.0
32,101,253.0
84,67,184.0
82,104,135.0
89,82,244.0
32,72,549.0
65,124,256.0
78,85,232.0
68,88,158.0
32,80,531.0
69,84,237.0
88,84,385.0
80,66,185.0
76,96,408.0
65,111,210.0
73,84,262.0
78,95,824.0
188,82,208.0
32,95,504.0
78,96,257.0
79,100,220.0
84,97,168.0
32,81,185.0
84,97,163.0
79,68,219.0
32,132,619.0
82,99,191.0
69,102,210.0
68,115,176.0
79,80,1012.0
190,84,3103.0
16,594,473.0
72,101,322.0
69,98,151.0
32,97,185.0
68,114,231.0
73,83,169.0
68,98,167.0
32,65,1064.0
78,87,227.0
79,93,196.0
84,98,133.0
32,69,287.0
