KEYCODE,ht,df
72,95,141.0
69,96,374.0
8,142,235.0
8,51,143.0
16,194,187.0
72,99,145.0
69,142,234.0
32,144,235.0
73,148,141.0
83,146,148.0
32,123,353.0
82,147,141.0
69,98,329.0
67,142,188.0
79,143,327.0
86,144,199.0
69,190,93.0
82,146,284.0
73,96,189.0
78,103,95.0
71,145,148.0
32,139,369.0
70,143,328.0
79,143,235.0
82,97,142.0
77,143,328.0
8,97,189.0
8,97,189.0
8,97,189.0
82,97,143.0
79,143,235.0
77,97,142.0
32,97,143.0
65,144,147.0
32,92,230.0
76,189,235.0
69,143,282.0
70,96,281.0
84,97,188.0
32,97,282.0
75,96,248.0
78,143,374.0
69,96,151.0
69,143,188.0
32,97,282.0
73,112,204.0
78,111,666.0
74,97,188.0
85,143,327.0
82,97,143.0
89,97,513.0
190,142,3290.0
16,191,141.0
79,99,191.0
82,98,281.0
32,144,236.0
76,191,140.0
69,145,257.0
84,91,401.0
222,149,140.0
83,99,191.0
32,126,310.0
71,109,200.0
69,97,236.0
84,142,235.0
32,97,327.0
67,97,190.0
82,148,139.0
69,99,238.0
65,100,192.0
84,97,143.0
73,142,188.0
86,98,143.0
69,96,328.0
190,142,2556.0
16,239,188.0
84,145,149.0
72,92,277.0
69,142,234.0
83,146,95.0
69,144,468.0
32,143,374.0
70,149,140.0
65,145,699.0
67,144,282.0
84,142,189.0
79,114,160.0
82,98,334.0
83,143,217.0
32,144,281.0
68,97,190.0
73,142,234.0
67,97,466.0
84,97,189.0
65,145,94.0
84,99,192.0
69,96,234.0
32,98,235.0
67,97,143.0
76,142,281.0
69,143,234.0
65,191,194.0
82,138,369.0
32,143,235.0
76,143,189.0
73,142,188.0
77,143,236.0
73,96,188.0
84,97,143.0
83,142,234.0
32,144,931.0
84,117,120.0
79,93,138.0
32,143,189.0
84,98,101.0
72,98,90.0
69,147,96.0
32,146,237.0
67,98,102.0
79,138,230.0
78,97,373.0
67,143,236.0
69,142,188.0
80,143,235.0
84,96,189.0
32,97,189.0
79,96,142.0
70,99,102.0
32,92,236.0
83,144,189.0
65,143,374.0
71,50,605.0
8,143,189.0
70,96,143.0
69,105,197.0
32,97,236.0
65,141,187.0
82,97,281.0
69,97,282.0
65,142,281.0
83,97,420.0
190,142,2465.0
16,195,186.0
87,145,238.0
69,96,373.0
32,143,281.0
87,142,281.0
73,97,190.0
76,96,188.0
76,97,143.0
32,96,189.0
75,143,189.0
69,96,188.0
69,97,143.0
80,97,189.0
32,143,281.0
84,143,282.0
82,142,280.0
89,96,328.0
73,143,188.0
78,149,141.0
71,99,422.0
190,97,2141.0
16,191,140.0
76,145,191.0
69,96,420.0
84,143,420.0
32,189,282.0
77,101,93.0
69,147,150.0
32,138,230.0
