KEYCODE,ht,df
16,703,535.0
73,119,231.0
32,112,264.0
67,136,208.0
65,168,200.0
78,112,200.0
32,102,1126.0
71,154,202.0
69,104,224.0
84,104,128.0
32,120,496.0
84,136,137.0
72,78,159.0
69,136,352.0
77,112,1056.0
190,135,5840.0
16,295,168.0
73,104,200.0
32,128,254.0
65,146,226.0
80,80,199.0
80,65,201.0
82,144,280.0
69,118,920.0
67,135,192.0
73,103,103.0
65,169,369.0
84,96,176.0
69,120,144.0
32,96,992.0
89,112,512.0
79,120,241.0
85,103,223.0
32,96,720.0
77,80,175.0
79,129,577.0
86,136,138.0
73,86,222.0
78,103,288.0
71,88,304.0
32,104,600.0
83,119,247.0
79,97,208.0
32,113,489.0
81,144,224.0
85,96,240.0
73,120,240.0
67,128,608.0
75,104,199.0
76,129,441.0
89,112,328.0
32,88,552.0
79,112,232.0
78,71,168.0
32,88,176.0
84,103,103.0
72,105,273.0
73,112,223.0
83,128,361.0
190,112,4000.0
16,216,143.0
73,73,1017.0
222,143,344.0
77,80,168.0
32,104,816.0
79,96,224.0
78,88,175.0
32,105,153.0
65,127,127.0
32,114,344.0
67,113,233.0
79,96,472.0
78,104,360.0
70,128,200.0
69,159,159.0
82,153,225.0
69,120,191.0
78,113,233.0
67,152,192.0
69,111,159.0
32,113,817.0
67,128,160.0
65,152,208.0
76,88,168.0
76,72,231.0
190,120,40.0
191,32,905.0
8,127,4480.0
16,344,184.0
73,112,215.0
32,105,321.0
72,48,296.0
65,143,303.0
68,128,761.0
78,88,695.0
222,137,345.0
84,96,159.0
32,97,408.0
68,121,194.0
79,55,215.0
78,112,271.0
69,120,152.0
32,88,825.0
84,126,128.0
72,135,215.0
65,128,249.0
84,79,272.0
32,88,664.0
70,144,256.0
79,103,304.0
82,104,183.0
32,88,120.0
65,160,233.0
32,95,354.0
87,111,172.0
72,125,250.0
73,109,578.0
76,156,187.0
69,125,1328.0
173,65,1469.0
84,110,234.0
79,94,173.0
79,62,187.0
32,78,562.0
66,110,204.0
85,109,249.0
83,141,297.0
89,79,985.0
188,93,156.0
32,94,250.0
16,227,141.0
73,86,218.0
32,78,344.0
71,109,234.0
89,79,579.0
8,125,390.0
85,78,251.0
69,125,202.0
83,141,203.0
83,141,422.0
190,110,3719.0
16,340,266.0
84,74,187.0
72,110,251.0
69,124,171.0
82,141,203.0
69,102,103.0
32,131,397.0
73,94,203.0
83,125,172.0
32,110,281.0
83,126,469.0
84,110,219.0
73,78,219.0
76,93,187.0
76,79,219.0
32,94,95.0
65,139,389.0
67,133,133.0
72,133,195.0
65,157,157.0
78,109,203.0
67,156,203.0
69,109,1625.0
32,78,765.0
84,125,126.0
72,126,500.0
69,109,171.0
82,126,203.0
69,94,125.0
32,110,610.0
77,109,265.0
73,126,344.0
71,85,84.0
72,120,166.0
84,138,138.0
32,144,893.0
66,110,266.0
69,105,105.0
32,114,723.0
77,110,219.0
79,109,375.0
68,110,203.0
73,110,406.0
70,125,156.0
73,126,220.0
67,124,187.0
65,172,562.0
84,125,172.0
73,94,173.0
79,124,358.0
77,78,516.0
8,125,266.0
78,125,343.0
32,94,657.0
73,93,187.0
78,78,188.0
32,89,89.0
16,396,286.0
68,140,266.0
65,155,671.0
76,78,173.0
76,108,218.0
65,141,219.0
83,109,296.0
190,110,3672.0
16,828,719.0
87,109,266.0
73,62,171.0
76,110,171.0
76,127,252.0
32,93,452.0
76,125,282.0
69,140,297.0
84,109,140.0
32,125,406.0
89,125,563.0
79,141,531.0
85,78,235.0
32,78,421.0
75,110,219.0
78,94,610.0
79,140,265.0
87,110,578.0
32,110,797.0
72,79,422.0
79,94,297.0
87,125,156.0
32,110,245.0
67,162,271.0
65,156,234.0
76,94,157.0
76,93,249.0
32,79,1860.0
71,126,125.0
79,140,703.0
69,125,203.0
83,156,109.0
32,126,813.0
73,95,219.0
78,62,172.0
32,78,515.0
77,125,330.0
79,108,452.0
82,109,249.0
78,94,250.0
73,94,344.0
78,141,281.0
71,110,1360.0
190,78,4078.0
16,234,62.0
72,94,500.0
79,157,469.0
87,125,266.0
69,109,484.0
86,125,203.0
69,202,202.0
82,142,986.0
188,140,203.0
32,109,406.0
16,750,641.0
74,110,344.0
69,109,296.0
70,94,157.0
70,140,187.0
69,157,219.0
82,125,265.0
83,157,219.0
32,110,594.0
73,141,281.0
83,141,172.0
32,94,406.0
84,110,204.0
79,78,172.0
79,62,203.0
32,109,562.0
82,94,250.0
73,94,250.0
83,125,594.0
75,173,328.0
89,93,297.0
32,93,720.0
84,92,186.0
79,109,234.0
32,110,485.0
68,79,578.0
8,140,187.0
83,141,375.0
84,125,563.0
65,187,437.0
82,94,188.0
84,109,234.0
32,110,672.0
70,141,172.0
82,141,297.0
79,78,234.0
77,109,203.0
32,125,173.0
65,171,452.0
32,126,532.0
16,390,296.0
70,94,282.0
65,156,250.0
78,109,734.0
84,94,125.0
65,141,281.0
83,110,235.0
89,109,500.0
32,156,625.0
