KEYCODE,ht,df
16,326,192.0
79,112,727.0
8,80,432.0
16,200,129.0
73,103,256.0
84,103,104.0
222,136,208.0
83,144,147.0
32,108,276.0
82,160,128.0
69,122,122.0
65,183,110.0
76,76,185.0
76,111,159.0
89,112,72.0
32,136,216.0
74,88,177.0
85,87,135.0
83,65,168.0
84,104,105.0
32,80,175.0
84,88,224.0
69,87,256.0
67,144,121.0
72,54,199.0
78,104,129.0
73,104,151.0
67,64,128.0
65,160,784.0
76,88,240.0
73,80,167.0
84,116,160.0
73,80,241.0
69,95,224.0
83,112,207.0
190,96,2168.0
16,321,160.0
80,161,241.0
76,119,95.0
69,97,97.0
65,224,167.0
83,168,88.0
69,140,140.0
32,100,148.0
67,56,120.0
65,184,120.0
76,67,201.0
76,120,55.0
32,184,144.0
77,88,120.0
69,88,103.0
32,177,145.0
73,129,168.0
70,128,88.0
32,96,177.0
89,95,104.0
79,167,119.0
85,120,88.0
32,136,168.0
72,146,112.0
65,152,104.0
86,89,194.0
69,102,38.0
32,104,176.0
65,192,80.0
78,88,224.0
89,130,105.0
32,112,174.0
81,161,164.0
85,93,94.0
69,176,177.0
83,133,62.0
84,136,104.0
73,224,104.0
79,120,88.0
78,119,192.0
83,95,143.0
190,97,1921.0
16,247,176.0
72,96,151.0
69,80,121.0
32,96,112.0
67,80,136.0
65,161,127.0
78,129,129.0
32,135,375.0
66,96,225.0
69,112,191.0
32,64,272.0
69,144,321.0
88,119,142.0
80,129,225.0
76,64,191.0
79,90,90.0
83,87,199.0
73,72,137.0
86,70,169.0
69,94,125.0
188,137,97.0
32,128,249.0
66,63,165.0
69,105,266.0
85,72,335.0
8,65,145.0
8,80,200.0
85,72,112.0
84,88,175.0
32,80,114.0
72,168,280.0
69,96,183.0
32,163,128.0
73,105,73.0
83,120,175.0
32,105,153.0
65,135,183.0
76,105,409.0
83,127,167.0
79,168,129.0
32,152,504.0
69,87,247.0
82,128,241.0
82,128,231.0
65,218,185.0
84,103,199.0
73,72,136.0
67,80,209.0
190,111,1663.0
16,784,440.0
73,184,368.0
32,104,177.0
65,143,63.0
77,160,121.0
32,119,214.0
84,73,176.0
82,97,81.0
89,104,104.0
73,96,200.0
78,72,76.0
71,134,100.0
32,80,128.0
65,160,112.0
71,160,160.0
65,193,111.0
73,115,83.0
78,101,261.0
190,113,1867.0
16,373,198.0
73,120,256.0
32,112,135.0
65,129,65.0
80,80,183.0
80,137,140.0
82,141,141.0
69,119,288.0
67,88,231.0
73,65,152.0
65,177,180.0
84,116,164.0
69,104,216.0
32,56,185.0
89,79,103.0
79,184,120.0
85,110,74.0
32,134,198.0
77,121,96.0
79,136,137.0
86,79,160.0
69,168,170.0
73,125,85.0
78,152,408.0
8,56,168.0
8,56,161.0
8,80,255.0
73,73,153.0
78,111,175.0
71,123,104.0
32,96,200.0
83,119,80.0
79,120,120.0
32,112,552.0
81,128,88.0
85,160,137.0
73,136,222.0
67,161,193.0
75,88,160.0
76,111,231.0
89,121,97.0
32,128,264.0
79,136,112.0
78,104,105.0
32,80,103.0
84,111,71.0
72,128,106.0
73,96,96.0
83,110,167.0
190,168,1967.0
16,296,216.0
83,128,224.0
69,113,144.0
78,96,159.0
84,113,481.0
8,80,81.0
65,175,127.0
84,137,168.0
69,165,305.0
32,111,456.0
82,128,311.0
65,152,376.0
84,88,193.0
73,79,142.0
70,105,168.0
73,81,153.0
67,80,145.0
65,167,119.0
84,119,65.0
73,185,86.0
79,194,75.0
78,174,93.0
32,113,169.0
87,105,80.0
79,121,273.0
85,143,280.0
76,79,159.0
68,128,152.0
32,104,289.0
66,88,223.0
69,104,168.0
32,73,104.0
65,129,143.0
32,106,265.0
77,137,160.0
65,144,120.0
84,105,216.0
84,80,145.0
69,135,95.0
82,81,120.0
32,88,88.0
79,121,187.0
70,94,108.0
32,97,153.0
72,89,169.0
85,95,263.0
77,73,128.0
65,120,96.0
78,80,162.0
73,112,175.0
84,95,143.0
89,88,295.0
190,121,1993.0
16,274,240.0
84,103,608.0
72,104,105.0
73,134,167.0
83,95,183.0
32,97,105.0
67,88,183.0
65,136,282.0
77,79,190.0
69,80,160.0
32,72,112.0
65,169,113.0
83,143,143.0
32,96,112.0
65,161,162.0
32,103,231.0
83,136,136.0
72,79,192.0
79,111,175.0
67,95,151.0
75,153,128.0
32,120,176.0
84,120,57.0
79,127,103.0
32,96,233.0
77,128,184.0
69,95,127.0
190,120,1648.0
16,504,328.0
72,143,312.0
69,64,112.0
32,104,192.0
72,80,233.0
65,247,199.0
83,152,152.0
32,96,360.0
77,128,192.0
65,121,217.0
68,80,191.0
69,96,128.0
32,80,80.0
80,168,168.0
82,96,159.0
79,129,393.0
71,95,200.0
82,111,200.0
69,88,289.0
83,87,207.0
83,152,153.0
32,87,91.0
73,76,131.0
78,121,97.0
32,103,151.0
72,113,88.0
73,128,129.0
83,154,154.0
32,85,461.0
82,113,179.0
69,135,197.0
79,80,104.0
86,81,185.0
69,160,111.0
82,112,675.0
8,77,174.0
8,64,176.0
8,65,192.0
67,87,184.0
8,88,224.0
8,72,200.0
67,103,336.0
79,103,407.0
86,136,313.0
69,159,79.0
82,184,184.0
89,137,140.0
32,108,252.0
65,146,122.0
78,77,101.0
68,129,130.0
32,168,151.0
77,104,104.0
73,104,143.0
71,98,65.0
72,97,152.0
84,96,96.0
32,88,159.0
80,129,241.0
76,95,143.0
65,178,113.0
89,98,65.0
32,127,207.0
84,96,56.0
