KEYCODE,ht,df
16,257,167.0
72,105,384.0
69,85,118.0
32,526,527.0
68,4,5.0
73,2,7.0
68,3,3.0
32,68,94.0
78,75,183.0
79,79,131.0
84,80,129.0
32,79,126.0
82,85,158.0
69,95,183.0
84,90,170.0
85,79,125.0
82,80,201.0
78,85,205.0
32,129,817.0
84,86,118.0
79,85,188.0
32,81,75.0
84,90,144.0
72,69,64.0
69,84,130.0
32,89,63.0
71,81,248.0
83,64,164.0
77,53,384.0
8,105,165.0
8,85,272.0
65,79,342.0
77,69,247.0
69,85,761.0
188,127,178.0
32,80,296.0
65,154,269.0
78,95,248.0
68,79,90.0
32,90,836.0
73,113,235.0
83,90,121.0
32,101,559.0
76,91,195.0
73,75,191.0
83,90,233.0
84,84,131.0
69,74,171.0
68,86,80.0
32,100,252.0
65,116,263.0
83,96,224.0
32,85,438.0
68,82,192.0
65,116,577.0
89,80,207.0
32,90,106.0
84,85,161.0
79,80,103.0
32,90,220.0
70,59,283.0
8,101,156.0
68,74,194.0
65,101,253.0
89,84,2677.0
16,318,207.0
76,117,378.0
69,111,194.0
84,80,74.0
32,100,173.0
77,74,59.0
69,85,162.0
32,101,724.0
75,74,146.0
78,91,204.0
79,84,146.0
87,73,97.0
32,122,240.0
73,95,181.0
70,85,227.0
32,85,727.0
89,98,160.0
79,91,244.0
85,74,84.0
32,85,145.0
72,92,158.0
65,90,85.0
86,105,182.0
69,84,74.0
32,106,145.0
65,100,124.0
78,90,210.0
85,75,317.0
8,116,121.0
89,117,244.0
32,101,165.0
80,100,172.0
82,90,157.0
79,85,194.0
66,90,154.0
76,70,115.0
69,85,119.0
77,84,190.0
83,73,533.0
190,106,2828.0
16,803,723.0
70,85,309.0
8,96,175.0
16,133,75.0
68,101,188.0
79,90,141.0
32,112,230.0
89,85,90.0
79,91,173.0
85,79,106.0
32,108,103.0
78,90,156.0
69,84,125.0
69,74,143.0
68,96,122.0
32,85,262.0
73,85,153.0
84,85,90.0
32,101,64.0
84,80,180.0
79,80,304.0
68,85,222.0
65,79,96.0
89,84,294.0
16,298,207.0
219,112,1773.0
16,489,415.0
84,90,326.0
72,79,198.0
69,80,219.0
32,90,213.0
79,69,172.0
78,79,195.0
76,90,141.0
89,95,111.0
32,74,192.0
79,81,201.0
78,79,603.0
8,105,225.0
84,85,164.0
72,95,348.0
69,95,176.0
82,80,426.0
32,95,791.0
80,75,190.0
79,84,295.0
84,90,201.0
69,90,107.0
78,95,129.0
84,79,142.0
73,50,107.0
73,96,797.0
8,159,251.0
65,133,248.0
76,127,466.0
32,91,615.0
79,91,304.0
70,79,140.0
70,74,122.0
73,95,211.0
67,85,343.0
69,86,119.0
32,106,841.0
73,80,841.0
83,96,74.0
32,123,255.0
16,1370,90.0
69,106,367.0
79,85,558.0
84,95,191.0
84,95,729.0
190,90,1600.0
16,543,426.0
82,100,222.0
69,100,199.0
70,85,161.0
69,95,183.0
82,75,111.0
82,74,166.0
73,120,238.0
78,85,165.0
71,95,250.0
32,112,754.0
84,79,177.0
79,86,173.0
32,96,130.0
72,80,205.0
73,74,134.0
83,91,106.0
32,86,178.0
77,80,136.0
69,95,211.0
84,69,111.0
84,84,107.0
73,109,228.0
78,84,170.0
71,123,200.0
32,86,473.0
73,84,194.0
78,79,128.0
32,74,235.0
16,127,84.0
87,91,174.0
65,80,166.0
83,69,217.0
72,85,196.0
73,79,442.0
78,79,257.0
71,64,256.0
84,79,177.0
79,90,363.0
78,106,270.0
32,106,623.0
87,101,273.0
73,91,154.0
84,90,121.0
72,85,154.0
32,90,221.0
16,677,79.0
85,90,470.0
83,97,528.0
32,106,385.0
16,573,473.0
80,169,1405.0
82,98,149.0
69,114,199.0
83,53,143.0
73,90,129.0
68,95,156.0
69,80,96.0
78,136,148.0
84,84,74.0
32,90,227.0
16,106,69.0
66,90,227.0
73,85,224.0
76,69,119.0
76,69,123.0
32,79,140.0
16,271,197.0
67,90,240.0
76,86,189.0
73,75,219.0
78,97,253.0
84,84,142.0
79,96,123.0
78,95,887.0
190,106,1756.0
16,590,516.0
73,84,345.0
219,85,224.0
76,91,135.0
76,86,114.0
32,117,1040.0
71,86,407.0
73,79,166.0
86,82,206.0
69,85,108.0
32,85,216.0
73,80,91.0
84,101,166.0
32,90,295.0
79,111,358.0
32,89,602.0
89,95,151.0
79,96,201.0
85,80,74.0
32,117,246.0
84,89,80.0
79,95,188.0
77,109,192.0
79,85,200.0
82,79,123.0
82,74,111.0
79,85,213.0
87,75,480.0
190,90,1920.0
16,346,272.0
84,95,329.0
72,73,285.0
69,85,131.0
32,80,212.0
80,85,127.0
65,90,225.0
82,85,161.0
84,74,148.0
73,90,176.0
65,75,102.0
76,90,196.0
32,75,198.0
76,75,184.0
73,74,108.0
83,109,287.0
84,91,772.0
32,100,589.0
65,58,742.0
78,85,171.0
78,69,112.0
79,84,202.0
85,74,215.0
78,88,229.0
67,84,252.0
69,84,189.0
77,105,111.0
69,95,139.0
78,74,115.0
84,101,198.0
32,80,512.0
67,74,214.0
65,86,145.0
77,79,109.0
69,80,292.0
188,90,706.0
