KEYCODE,ht,df
16,702,597.0
74,120,189.0
73,132,185.0
65,163,200.0
78,133,314.0
71,76,570.0
32,102,468.0
77,135,124.0
65,177,512.0
68,97,199.0
69,104,126.0
32,125,295.0
84,55,1048.0
72,73,120.0
69,117,196.0
32,89,469.0
67,102,170.0
79,100,247.0
77,86,200.0
77,71,118.0
69,117,144.0
78,91,292.0
84,131,206.0
83,134,351.0
32,115,362.0
73,107,193.0
78,72,192.0
32,62,122.0
65,116,202.0
32,73,165.0
77,116,185.0
69,100,184.0
69,85,247.0
84,120,216.0
73,91,222.0
78,116,196.0
71,105,274.0
32,108,712.0
87,131,163.0
73,137,269.0
84,116,147.0
72,90,222.0
32,116,316.0
84,84,216.0
72,84,833.0
8,103,215.0
8,73,339.0
16,434,384.0
77,100,232.0
65,100,131.0
76,101,1260.0
65,115,135.0
89,100,185.0
83,131,818.0
73,100,132.0
65,137,169.0
78,100,263.0
32,92,200.0
16,427,384.0
80,99,330.0
82,101,220.0
73,91,224.0
77,100,167.0
69,114,228.0
32,89,238.0
16,250,180.0
77,70,621.0
73,68,212.0
78,123,186.0
73,175,244.0
83,114,214.0
84,100,178.0
69,116,238.0
82,101,706.0
190,100,5297.0
16,542,477.0
75,96,332.0
69,100,184.0
69,100,163.0
80,99,300.0
32,121,385.0
72,100,169.0
73,116,301.0
77,115,263.0
32,99,300.0
73,99,185.0
78,83,225.0
32,86,223.0
77,109,241.0
73,98,222.0
78,103,202.0
68,145,477.0
32,67,448.0
65,123,217.0
83,106,222.0
32,84,166.0
65,118,296.0
32,131,170.0
16,343,202.0
78,104,242.0
79,100,651.0
190,131,2334.0
16,369,293.0
84,75,220.0
72,80,179.0
69,116,184.0
32,85,285.0
79,119,308.0
84,78,209.0
72,81,122.0
69,131,286.0
82,89,193.0
32,116,560.0
70,78,241.0
73,81,201.0
71,122,211.0
85,142,211.0
82,243,231.0
69,151,493.0
32,123,386.0
73,96,238.0
83,131,162.0
32,96,304.0
84,92,197.0
72,95,237.0
69,131,185.0
32,100,564.0
84,100,200.0
79,93,201.0
80,91,300.0
32,109,579.0
49,90,581.0
53,83,561.0
32,71,444.0
67,103,662.0
79,122,200.0
78,118,538.0
84,77,193.0
82,69,138.0
65,100,131.0
67,131,216.0
84,104,200.0
83,98,615.0
190,100,2493.0
16,773,686.0
68,100,416.0
73,101,560.0
68,124,158.0
32,115,200.0
89,102,175.0
79,156,172.0
79,29,301.0
32,90,246.0
71,91,207.0
69,116,217.0
84,86,300.0
32,102,300.0
84,86,216.0
72,109,531.0
73,92,183.0
83,108,825.0
191,96,1138.0
8,101,201.0
16,400,247.0
191,95,3417.0
8,549,670.0
8,66,169.0
8,73,163.0
8,79,169.0
8,85,169.0
8,100,194.0
8,61,153.0
8,85,185.0
8,69,1091.0
85,89,289.0
32,101,232.0
71,100,147.0
69,121,122.0
84,75,263.0
32,94,154.0
84,84,201.0
72,130,199.0
73,131,200.0
83,85,548.0
16,584,473.0
191,86,2257.0
16,313,230.0
68,99,390.0
79,120,237.0
78,96,647.0
192,100,232.0
84,84,152.0
32,108,1119.0
69,74,479.0
80,115,222.0
69,100,231.0
67,148,216.0
84,122,894.0
8,96,178.0
8,101,200.0
8,100,185.0
8,84,754.0
88,115,284.0
80,132,248.0
69,100,185.0
67,131,215.0
84,148,370.0
32,100,632.0
16,227,131.0
83,121,239.0
65,162,431.0
78,116,231.0
68,123,223.0
69,116,278.0
82,115,169.0
83,147,285.0
32,116,432.0
84,124,200.0
79,92,239.0
32,115,278.0
80,76,184.0
76,138,238.0
65,132,278.0
89,92,577.0
32,82,348.0
65,162,224.0
78,91,384.0
89,99,231.0
84,123,185.0
73,116,237.0
77,101,301.0
69,100,216.0
32,100,163.0
83,91,218.0
79,98,251.0
78,59,644.0
8,111,342.0
79,69,270.0
78,100,560.0
190,94,2083.0
16,681,523.0
87,100,536.0
79,127,258.0
82,106,146.0
76,128,656.0
68,104,169.0
32,147,163.0
67,120,218.0
85,120,304.0
80,116,484.0
32,68,632.0
70,70,142.0
65,131,517.0
78,92,219.0
83,100,278.0
32,94,623.0
65,147,217.0
84,84,247.0
32,137,153.0
16,290,236.0
83,85,218.0
84,147,166.0
65,117,782.0
78,118,350.0
70,119,235.0
79,148,184.0
82,100,301.0
68,131,484.0
32,100,474.0
16,227,178.0
83,115,516.0
84,116,201.0
65,131,316.0
68,100,323.0
73,109,244.0
85,84,291.0
77,105,375.0
32,63,630.0
65,135,166.0
82,100,231.0
69,138,170.0
32,100,285.0
