KEYCODE,ht,df
16,356,268.0
89,72,368.0
79,80,160.0
85,56,184.0
82,88,232.0
32,56,688.0
70,79,128.0
82,87,368.0
73,56,480.0
78,40,1184.0
8,64,1256.0
69,56,160.0
78,64,111.0
68,72,1050.0
222,1,95.0
83,48,183.0
32,40,761.0
68,64,136.0
69,96,192.0
70,88,120.0
69,80,264.0
78,40,328.0
83,152,152.0
69,95,1384.0
188,63,216.0
32,63,624.0
72,71,120.0
79,79,288.0
87,63,456.0
69,63,208.0
86,111,136.0
69,151,135.0
82,72,969.0
188,55,176.0
32,63,368.0
72,71,151.0
65,161,162.0
83,30,103.0
32,56,664.0
79,71,240.0
84,55,160.0
72,71,135.0
69,72,104.0
82,48,233.0
32,80,360.0
80,63,139.0
76,53,181.0
65,63,128.0
78,39,176.0
83,63,376.0
190,63,5576.0
16,247,143.0
78,56,321.0
69,63,144.0
69,47,167.0
68,64,152.0
32,56,440.0
84,65,152.0
79,65,200.0
32,64,232.0
87,64,224.0
65,64,184.0
89,40,528.0
8,80,280.0
84,56,944.0
67,56,128.0
72,56,672.0
32,56,392.0
67,64,208.0
76,72,152.0
79,65,168.0
83,80,200.0
69,80,432.0
76,48,152.0
89,56,552.0
190,48,3040.0
16,872,720.0
73,64,784.0
222,64,280.0
77,64,201.0
32,63,991.0
86,56,208.0
69,73,224.0
82,72,160.0
89,64,632.0
32,40,224.0
83,64,240.0
79,72,336.0
82,56,144.0
82,72,120.0
89,64,280.0
32,64,304.0
65,72,208.0
66,80,192.0
79,104,160.0
85,64,200.0
84,64,176.0
32,56,496.0
84,56,168.0
72,64,120.0
65,65,96.0
84,48,240.0
32,48,416.0
77,96,120.0
73,32,440.0
88,48,136.0
32,64,305.0
85,63,175.0
80,64,712.0
190,56,3192.0
16,400,344.0
67,57,288.0
76,72,152.0
73,56,192.0
78,48,312.0
84,72,160.0
79,72,200.0
78,48,208.0
32,72,568.0
79,72,216.0
78,48,168.0
78,40,216.0
84,40,200.0
72,72,192.0
69,72,440.0
8,88,176.0
8,56,152.0
8,40,128.0
8,48,152.0
8,40,136.0
8,56,848.0
78,48,152.0
32,64,216.0
84,64,152.0
72,72,560.0
69,56,248.0
32,64,440.0
79,64,256.0
84,48,168.0
72,64,152.0
69,120,104.0
82,96,216.0
32,64,416.0
72,48,136.0
65,72,128.0
78,56,136.0
68,80,450.0
188,63,174.0
32,64,832.0
72,48,144.0
65,112,144.0
68,80,208.0
32,56,560.0
66,56,176.0
65,80,496.0
67,56,160.0
75,56,168.0
69,64,208.0
68,56,160.0
32,56,232.0
65,64,184.0
32,48,360.0
80,74,128.0
76,64,184.0
65,57,464.0
78,48,176.0
32,64,208.0
84,64,104.0
79,64,216.0
32,56,736.0
67,72,184.0
79,73,216.0
78,64,368.0
86,56,152.0
73,72,168.0
78,56,416.0
83,40,696.0
8,88,808.0
67,120,104.0
69,104,216.0
32,72,504.0
16,448,400.0
69,88,408.0
85,106,489.0
82,71,239.0
79,64,160.0
80,72,169.0
69,63,823.0
190,48,2968.0
16,360,216.0
84,56,448.0
73,72,176.0
83,64,177.0
32,63,695.0
89,64,208.0
69,112,209.0
65,95,135.0
82,48,344.0
32,56,176.0
16,281,192.0
73,72,225.0
32,55,191.0
67,112,113.0
65,79,167.0
78,56,216.0
32,56,536.0
87,72,264.0
65,72,176.0
76,64,104.0
75,48,280.0
32,56,416.0
65,88,144.0
78,40,160.0
68,64,160.0
32,64,696.0
73,56,360.0
84,64,480.0
222,56,216.0
83,56,128.0
32,64,784.0
83,80,216.0
79,72,672.0
32,56,192.0
77,80,192.0
85,64,384.0
67,56,184.0
72,48,592.0
32,64,336.0
66,48,4720.0
37,1704,2136.0
39,72,784.0
72,58,272.0
39,1560,1760.0
39,72,160.0
39,80,168.0
39,87,752.0
69,72,224.0
84,40,160.0
84,64,152.0
69,72,112.0
82,72,856.0
190,72,3152.0
16,296,216.0
87,96,344.0
69,56,232.0
32,55,1240.0
74,64,168.0
85,64,176.0
83,72,168.0
84,40,360.0
32,72,344.0
80,80,240.0
85,56,216.0
76,64,136.0
76,63,183.0
69,81,169.0
68,80,208.0
32,64,472.0
83,64,200.0
67,48,232.0
72,56,1304.0
69,64,511.0
68,57,201.0
85,48,344.0
76,64,136.0
69,72,192.0
83,88,496.0
32,64,488.0
70,88,120.0
82,80,152.0
79,72,392.0
77,56,168.0
32,72,232.0
84,72,175.0
72,73,137.0
69,47,136.0
32,72,569.0
87,94,159.0
69,88,232.0
66,48,546.0
190,62,2902.0
16,296,232.0
74,48,280.0
65,64,152.0
78,56,192.0
32,56,296.0
72,64,144.0
65,128,104.0
83,96,152.0
32,63,176.0
65,72,152.0
32,64,360.0
76,64,160.0
79,64,296.0
84,72,152.0
32,72,152.0
79,88,264.0
70,80,160.0
32,64,704.0
68,128,128.0
69,112,232.0
84,56,159.0
65,72,297.0
73,56,208.0
76,56,359.0
190,57,2922.0
16,271,175.0
87,96,312.0
72,56,144.0
65,72,136.0
84,48,224.0
32,64,312.0
73,88,200.0
78,56,288.0
70,80,208.0
79,64,144.0
82,72,216.0
77,64,127.0
65,72,225.0
84,80,154.0
73,78,334.0
79,65,512.0
78,32,928.0
188,56,200.0
32,56,569.0
73,64,206.0
70,73,169.0
32,64,216.0
65,64,176.0
78,48,240.0
89,64,912.0
188,72,176.0
32,72,256.0
68,64,152.0
79,74,232.0
32,64,583.0
87,129,113.0
69,96,208.0
32,64,480.0
79,72,648.0
87,144,145.0
69,79,216.0
32,55,495.0
