KEYCODE,ht,df
16,753,607.0
82,244,592.0
85,191,289.0
84,211,229.0
72,196,1001.0
188,134,251.0
32,211,563.0
84,196,179.0
72,165,137.0
69,195,502.0
32,126,246.0
77,158,174.0
65,196,315.0
82,141,322.0
75,169,179.0
69,178,224.0
84,169,229.0
32,171,303.0
70,159,302.0
82,101,156.0
79,156,421.0
8,139,198.0
8,69,141.0
8,91,514.0
68,189,368.0
82,161,560.0
79,160,593.0
86,144,298.0
69,186,172.0
32,199,412.0
85,184,255.0
83,152,170.0
32,189,355.0
66,148,196.0
65,121,374.0
67,143,208.0
75,149,193.0
32,194,212.0
70,197,395.0
79,159,160.0
82,163,169.0
32,203,175.0
84,167,140.0
72,188,159.0
69,128,175.0
32,230,278.0
87,146,231.0
69,60,137.0
69,91,260.0
75,134,636.0
69,126,159.0
78,148,181.0
68,117,1217.0
190,93,2820.0
83,167,216.0
72,209,1041.0
8,93,158.0
8,131,369.0
16,215,216.0
83,147,610.0
74,191,759.0
8,166,167.0
8,170,1971.0
83,172,637.0
74,190,156.0
69,148,870.0
8,104,174.0
8,107,776.0
72,164,211.0
69,159,355.0
73,97,192.0
76,154,221.0
65,139,186.0
32,192,494.0
80,179,196.0
82,54,160.0
76,139,365.0
8,96,195.0
8,76,358.0
76,174,365.0
69,147,260.0
65,119,198.0
83,131,216.0
69,128,213.0
32,186,298.0
84,161,253.0
65,141,176.0
76,177,239.0
75,166,198.0
32,168,286.0
84,148,192.0
79,170,253.0
32,177,1299.0
16,220,150.0
65,234,1051.0
67,123,598.0
8,272,587.0
67,241,328.0
8,183,129.0
86,147,247.0
65,196,419.0
83,176,342.0
72,139,303.0
69,158,955.0
190,106,2050.0
87,153,178.0
69,172,212.0
32,197,322.0
75,105,447.0
78,183,189.0
79,165,243.0
69,105,432.0
8,152,120.0
87,203,182.0
32,201,175.0
84,175,152.0
72,166,173.0
69,152,159.0
32,189,355.0
69,161,241.0
78,169,417.0
71,166,178.0
73,155,229.0
78,184,241.0
69,111,176.0
32,161,204.0
73,154,128.0
83,112,179.0
32,159,1072.0
67,161,201.0
65,184,417.0
80,128,512.0
65,159,686.0
66,176,216.0
76,169,273.0
69,177,909.0
190,106,4325.0
16,369,310.0
84,180,441.0
72,153,116.0
69,150,190.0
32,201,397.0
76,144,228.0
79,184,467.0
67,131,240.0
65,166,194.0
76,156,273.0
32,156,359.0
70,184,234.0
79,156,176.0
82,164,328.0
69,106,754.0
67,106,225.0
65,141,507.0
83,134,347.0
84,129,213.0
69,124,141.0
82,144,330.0
83,144,207.0
32,179,174.0
65,160,220.0
82,153,208.0
69,137,344.0
32,175,294.0
83,94,174.0
72,209,276.0
79,189,231.0
69,156,213.0
73,177,400.0
8,128,186.0
8,146,344.0
87,154,530.0
73,157,399.0
78,66,234.0
71,150,177.0
32,188,669.0
82,176,317.0
65,167,244.0
73,153,248.0
78,161,201.0
32,224,211.0
70,165,237.0
79,179,163.0
82,166,240.0
32,377,914.0
84,154,486.0
8,206,553.0
16,531,392.0
84,179,385.0
72,175,128.0
65,168,186.0
78,237,256.0
75,168,296.0
73,213,618.0
8,186,139.0
83,158,195.0
32,171,569.0
8,182,168.0
71,206,370.0
73,179,345.0
66,173,708.0
8,179,295.0
86,175,256.0
73,207,301.0
78,186,268.0
71,195,176.0
32,191,290.0
72,176,305.0
69,318,299.0
82,268,250.0
69,213,990.0
190,116,2746.0
17,457,1300.0
16,501,353.0
77,192,735.0
79,141,211.0
78,201,449.0
73,169,305.0
84,169,199.0
79,225,328.0
82,184,200.0
32,201,352.0
72,174,216.0
73,147,216.0
83,142,176.0
32,197,583.0
