KEYCODE,ht,df
16,252,147.0
67,185,120.0
72,160,353.0
73,111,639.0
83,160,208.0
32,104,296.0
16,240,144.0
70,152,256.0
79,120,144.0
83,160,248.0
84,96,120.0
69,176,112.0
82,106,80.0
32,120,200.0
73,80,96.0
83,120,176.0
32,104,296.0
73,96,168.0
78,112,1144.0
16,728,632.0
49,136,3033.0
16,359,255.0
84,120,208.0
72,104,328.0
69,80,496.0
73,80,184.0
82,96,160.0
32,104,176.0
75,104,160.0
69,136,160.0
89,96,176.0
32,104,240.0
68,112,208.0
69,64,184.0
67,160,145.0
73,95,167.0
83,120,144.0
73,160,96.0
79,240,160.0
78,120,272.0
32,96,272.0
77,120,144.0
65,136,120.0
75,80,144.0
69,256,216.0
82,136,208.0
32,80,248.0
68,120,104.0
73,96,144.0
68,80,128.0
32,80,176.0
78,112,136.0
79,120,96.0
84,144,160.0
32,96,224.0
83,96,112.0
72,120,144.0
79,120,136.0
87,136,264.0
32,96,536.0
87,160,208.0
72,96,144.0
73,80,120.0
67,120,184.0
72,80,376.0
32,96,248.0
73,104,152.0
83,96,120.0
32,120,240.0
78,96,144.0
79,104,120.0
84,104,120.0
32,80,200.0
65,120,186.0
32,118,574.0
71,80,216.0
79,80,144.0
79,96,144.0
68,80,176.0
32,80,184.0
83,120,136.0
73,80,160.0
71,80,240.0
78,96,1048.0
190,72,5105.0
16,1447,335.0
70,80,256.0
89,81,616.0
73,64,568.0
188,80,464.0
32,96,440.0
87,104,120.0
79,160,121.0
85,95,119.0
76,96,304.0
68,120,368.0
32,96,248.0
83,104,120.0
72,104,152.0
69,96,136.0
32,96,192.0
77,80,152.0
69,80,160.0
69,160,208.0
84,120,168.0
32,96,160.0
77,96,184.0
89,104,176.0
32,80,192.0
82,216,121.0
69,135,223.0
81,112,96.0
85,120,186.0
73,94,158.0
82,120,360.0
69,80,296.0
77,96,160.0
69,136,40.0
78,81,185.0
84,119,239.0
83,80,784.0
16,256,176.0
191,120,2528.0
16,176,120.0
84,136,160.0
72,84,56.0
69,144,160.0
32,120,272.0
67,120,184.0
65,136,184.0
85,104,120.0
83,120,184.0
69,120,160.0
32,120,144.0
79,96,144.0
68,160,96.0
32,144,160.0
84,160,104.0
72,72,176.0
32,96,568.0
8,104,192.0
69,80,536.0
32,120,176.0
70,120,136.0
73,104,120.0
82,96,600.0
69,80,520.0
32,96,144.0
87,120,200.0
65,160,56.0
83,160,120.0
32,104,168.0
85,80,160.0
78,104,83.0
68,93,197.0
69,200,120.0
82,160,176.0
32,120,248.0
73,80,152.0
78,96,216.0
86,120,200.0
69,96,288.0
83,120,248.0
84,104,152.0
73,96,248.0
71,120,176.0
65,136,192.0
84,120,96.0
73,216,120.0
79,201,120.0
78,120,816.0
188,80,368.0
32,104,424.0
80,144,744.0
79,104,216.0
76,120,192.0
73,81,200.0
67,96,208.0
69,104,152.0
32,96,152.0
83,120,200.0
65,160,176.0
73,80,288.0
68,104,1177.0
190,79,2431.0
16,200,144.0
84,160,136.0
72,121,96.0
69,120,168.0
32,136,160.0
79,192,152.0
78,144,184.0
76,96,208.0
89,96,760.0
32,120,192.0
79,120,168.0
84,136,152.0
72,80,104.0
69,176,96.0
82,144,200.0
32,120,504.0
80,120,208.0
79,80,240.0
84,120,224.0
69,120,176.0
78,96,192.0
84,104,793.0
73,95,295.0
65,80,144.0
76,80,176.0
32,104,192.0
79,104,120.0
70,64,128.0
70,80,144.0
73,80,120.0
67,72,168.0
69,96,144.0
32,120,160.0
73,168,169.0
83,79,159.0
32,96,512.0
16,1408,456.0
69,80,216.0
79,120,376.0
84,104,184.0
84,96,1280.0
110,79,2328.0
16,361,264.0
83,152,208.0
72,104,144.0
69,80,168.0
32,104,585.0
72,95,143.0
65,200,120.0
83,160,120.0
32,120,200.0
65,136,160.0
32,96,184.0
87,120,288.0
69,120,240.0
78,104,384.0
32,96,272.0
65,120,232.0
68,64,144.0
68,120,176.0
82,164,136.0
69,120,241.0
83,79,160.0
83,63,151.0
190,72,2504.0
16,176,136.0
84,120,144.0
72,136,160.0
73,80,96.0
83,96,160.0
32,96,144.0
73,80,160.0
83,104,184.0
32,136,160.0
86,120,168.0
69,200,120.0
82,120,208.0
89,104,452.0
32,116,284.0
83,120,240.0
69,72,496.0
78,105,360.0
83,72,168.0
73,120,232.0
84,80,184.0
73,104,216.0
86,112,208.0
69,80,824.0
110,80,2032.0
16,192,96.0
72,136,160.0
79,160,136.0
87,120,168.0
32,112,280.0
68,120,96.0
73,104,184.0
68,80,152.0
32,120,224.0
84,136,120.0
72,96,144.0
69,96,56.0
89,96,176.0
32,104,272.0
71,112,136.0
69,176,136.0
84,120,160.0
32,120,216.0
79,184,160.0
78,120,264.0
84,96,144.0
79,80,160.0
32,96,320.0
79,176,136.0
85,120,176.0
82,64,168.0
32,72,280.0
70,80,168.0
76,80,184.0
79,104,168.0
79,80,200.0
82,80,800.0
16,304,200.0
191,80,2416.0
16,272,136.0
89,120,248.0
69,120,232.0
83,80,193.0
32,95,159.0
16,200,80.0
73,104,176.0
32,120,232.0
76,96,160.0
73,96,176.0
75,80,96.0
69,144,208.0
32,104,552.0
80,120,208.0
69,144,80.0
