PRESS_TIME,RELEASE_TIME,KEYCODE,ht,df
1471951502046,1471951502298,16,252,170.0
1471951502216,1471951502315,66,99,186.0
1471951502402,1471951502476,69,74,84.0
1471951502486,1471951502581,32,95,140.0
1471951502626,1471951502701,66,75,144.0
1471951502770,1471951502866,65,96,102.0
1471951502872,1471951502979,67,107,96.0
1471951502968,1471951503048,75,80,81.0
1471951503049,1471951503151,32,102,99.0
1471951503148,1471951503233,84,85,80.0
1471951503228,1471951503345,79,117,126.0
1471951503354,1471951503459,77,105,62.0
1471951503416,1471951503524,79,108,135.0
1471951503551,1471951503626,82,75,136.0
1471951503687,1471951503760,82,73,75.0
1471951503762,1471951503850,79,88,80.0
1471951503842,1471951503920,87,78,86.0
1471951503928,1471951504017,32,89,89.0
1471951504017,1471951504113,65,96,99.0
1471951504116,1471951504185,78,69,76.0
1471951504192,1471951504276,68,84,69.0
1471951504261,1471951504339,32,78,114.0
1471951504375,1471951504468,77,93,67.0
1471951504442,1471951504522,65,80,157.0
1471951504599,1471951504663,89,64,214.0
1471951504813,1471951504899,66,86,94.0
1471951504907,1471951504982,69,75,148.0
1471951505055,1471951505156,32,101,128.0
1471951505183,1471951505274,87,91,166.0
1471951505349,1471951505431,69,82,138.0
1471951505487,1471951505574,32,87,89.0
1471951505576,1471951505686,67,110,76.0
1471951505652,1471951505742,65,90,93.0
1471951505745,1471951505814,78,69,105.0
1471951505850,1471951505941,32,91,193.0
1471951506043,1471951506158,16,115,305.0
1471951506348,1471951506443,86,95,97.0
1471951506445,1471951506535,73,90,100.0
1471951506545,1471951506627,83,82,115.0
1471951506660,1471951506723,73,63,103.0
1471951506763,1471951506841,84,78,143.0
1471951506906,1471951506953,190,47,5068.0
1471951511974,1471951512218,16,244,146.0
1471951512120,1471951512225,73,105,211.0
1471951512331,1471951512411,222,80,211.0
1471951512542,1471951512615,77,73,97.0
1471951512639,1471951512725,32,86,97.0
1471951512736,1471951512802,78,66,99.0
1471951512835,1471951512923,79,88,68.0
1471951512903,1471951512986,84,83,100.0
1471951513003,1471951513077,32,74,120.0
1471951513123,1471951513222,67,99,58.0
1471951513181,1471951513263,76,82,140.0
1471951513321,1471951513390,79,69,51.0
1471951513372,1471951513461,83,89,147.0
1471951513519,1471951513606,69,87,88.0
1471951513607,1471951513688,32,81,128.0
1471951513735,1471951513825,69,90,88.0
1471951513823,1471951513888,78,65,115.0
1471951513938,1471951514059,79,121,76.0
1471951514014,1471951514108,85,94,83.0
1471951514097,1471951514206,71,109,116.0
1471951514213,1471951514283,72,70,106.0
1471951514319,1471951514395,32,76,104.0
1471951514423,1471951514508,82,85,69.0
1471951514492,1471951514576,73,84,116.0
1471951514608,1471951514698,71,90,73.0
1471951514681,1471951514749,72,68,96.0
1471951514777,1471951514839,84,62,52.0
1471951514829,1471951514959,32,130,102.0
1471951514931,1471951515017,78,86,47.0
1471951514978,1471951515090,79,112,70.0
1471951515048,1471951515136,87,88,103.0
1471951515151,1471951515225,32,74,84.0
1471951515235,1471951515312,84,77,100.0
1471951515335,1471951515413,79,78,89.0
1471951515424,1471951515503,32,79,183.0
1471951515607,1471951515678,84,71,60.0
1471951515667,1471951515749,72,82,110.0
1471951515777,1471951515850,69,73,68.0
1471951515845,1471951515920,32,75,216.0
1471951516061,1471951516166,68,105,103.0
1471951516164,1471951516248,73,84,90.0
1471951516254,1471951516323,83,69,133.0
1471951516387,1471951516474,67,87,72.0
1471951516459,1471951516529,85,70,115.0
1471951516574,1471951516648,83,74,147.0
1471951516721,1471951516795,83,74,46.0
1471951516767,1471951516838,73,71,133.0
1471951516900,1471951516981,79,81,118.0
1471951517018,1471951517092,78,74,266.0
1471951517284,1471951517332,188,48,301.0
1471951517585,1471951517613,190,28,219.0
1471951517804,1471951517877,8,73,122.0
1471951517926,1471951517997,8,71,102.0
1471951518028,1471951518108,190,80,4670.0
1471951522698,1471951522868,16,170,98.0
1471951522796,1471951522905,68,109,107.0
1471951522903,1471951522988,73,85,87.0
1471951522990,1471951523084,68,94,114.0
1471951523104,1471951523202,32,98,226.0
1471951523330,1471951523419,89,89,83.0
1471951523413,1471951523540,79,127,87.0
1471951523500,1471951523585,85,85,92.0
1471951523592,1471951523679,32,87,124.0
1471951523716,1471951523825,78,109,99.0
1471951523815,1471951523919,79,104,79.0
1471951523894,1471951523971,84,77,88.0
1471951523982,1471951524082,32,100,114.0
1471951524096,1471951524214,82,118,55.0
1471951524151,1471951524280,69,129,64.0
1471951524215,1471951524322,65,107,121.0
1471951524336,1471951524433,68,97,78.0
1471951524414,1471951524491,32,77,125.0
1471951524539,1471951524627,77,88,101.0
1471951524640,1471951524723,89,83,81.0
1471951524721,1471951524799,32,78,138.0
1471951524859,1471951524945,70,86,75.0
1471951524934,1471951525018,73,84,118.0
1471951525052,1471951525163,82,111,75.0
1471951525127,1471951525226,83,99,159.0
1471951525286,1471951525363,84,77,63.0
1471951525349,1471951525438,32,89,160.0
1471951525509,1471951525598,69,89,124.0
1471951525633,1471951525709,77,76,85.0
1471951525718,1471951525808,65,90,106.0
1471951525824,1471951525883,73,59,173.0
1471951525997,1471951526071,76,74,107.0
1471951526104,1471951526307,16,203,111.0
1471951526215,1471951526262,191,47,5215.0
1471951531430,1471951531680,16,250,173.0
1471951531603,1471951531698,87,95,181.0
1471951531784,1471951531858,69,74,86.0
1471951531870,1471951531962,32,92,106.0
1471951531976,1471951532074,65,98,107.0
1471951532083,1471951532176,76,93,107.0
1471951532190,1471951532280,83,90,105.0
1471951532295,1471951532367,79,72,110.0
1471951532405,1471951532494,32,89,130.0
