PRESS_TIME,RELEASE_TIME,KEYCODE,ht,df
1471951077897,1471951078166,16,269,119.0
1471951078016,1471951078151,87,135,166.0
1471951078182,1471951078277,72,95,133.0
1471951078315,1471951078421,65,106,165.0
1471951078480,1471951078554,84,74,65.0
1471951078545,1471951078648,32,103,107.0
1471951078652,1471951078749,73,97,95.0
1471951078747,1471951078825,83,78,86.0
1471951078833,1471951078911,32,78,133.0
1471951078966,1471951079046,89,80,62.0
1471951079028,1471951079154,79,126,82.0
1471951079110,1471951079206,85,96,114.0
1471951079224,1471951079309,82,85,100.0
1471951079324,1471951079422,32,98,86.0
1471951079410,1471951079501,73,91,100.0
1471951079510,1471951079578,83,68,134.0
1471951079644,1471951079724,83,80,61.0
1471951079705,1471951079780,85,75,116.0
1471951079821,1471951079897,69,76,110.0
1471951079931,1471951079996,32,65,127.0
1471951080058,1471951080144,83,86,172.0
1471951080230,1471951080293,73,63,100.0
1471951080330,1471951080402,82,72,161.0
1471951080491,1471951080661,16,170,43.0
1471951080534,1471951080623,191,89,2712.0
1471951083246,1471951083479,16,233,114.0
1471951083360,1471951083469,77,109,177.0
1471951083537,1471951083612,73,75,97.0
1471951083634,1471951083718,65,84,113.0
1471951083747,1471951083822,77,75,124.0
1471951083871,1471951083944,73,73,145.0
1471951084016,1471951084078,32,62,116.0
1471951084132,1471951084230,72,98,128.0
1471951084260,1471951084328,69,68,222.0
1471951084482,1471951084556,8,74,83.0
1471951084565,1471951084671,65,106,64.0
1471951084629,1471951084742,83,113,126.0
1471951084755,1471951084836,32,81,94.0
1471951084849,1471951084946,65,97,115.0
1471951084964,1471951085017,32,53,107.0
1471951085071,1471951085163,66,92,215.0
1471951085286,1471951085328,89,42,362.0
1471951085648,1471951085740,69,92,121.0
1471951085769,1471951085853,188,84,134.0
1471951085903,1471951085976,32,73,192.0
1471951086095,1471951086185,83,90,67.0
1471951086162,1471951086244,79,82,119.0
1471951086281,1471951086349,32,68,70.0
1471951086351,1471951086499,16,148,97.0
1471951086448,1471951086525,77,77,388.0
1471951086836,1471951086961,67,125,689.0
1471951087525,1471951087685,16,160,73.0
1471951087598,1471951087687,75,89,205.0
1471951087803,1471951087904,78,101,89.0
1471951087892,1471951087999,73,107,160.0
1471951088052,1471951088147,71,95,79.0
1471951088131,1471951088202,72,71,111.0
1471951088242,1471951088307,84,65,75.0
1471951088317,1471951088410,32,93,123.0
1471951088440,1471951088512,73,72,97.0
1471951088537,1471951088619,83,82,69.0
1471951088606,1471951088675,32,69,200.0
1471951088806,1471951088897,79,91,127.0
1471951088933,1471951089016,66,83,201.0
1471951089134,1471951089226,86,92,50.0
1471951089184,1471951089258,73,74,161.0
1471951089345,1471951089450,79,105,52.0
1471951089397,1471951089502,85,105,93.0
1471951089490,1471951089586,83,96,168.0
1471951089658,1471951089747,76,89,72.0
1471951089730,1471951089810,89,80,112.0
1471951089842,1471951089976,32,134,107.0
1471951089949,1471951090062,78,113,68.0
1471951090017,1471951090129,79,112,84.0
1471951090101,1471951090193,84,92,117.0
1471951090218,1471951090290,32,72,93.0
1471951090311,1471951090389,65,78,104.0
1471951090415,1471951090479,78,64,171.0
1471951090586,1471951090651,32,65,372.0
1471951090958,1471951091050,79,92,194.0
1471951091152,1471951091235,79,83,197.0
1471951091349,1471951091397,80,48,170.0
1471951091519,1471951091584,8,65,118.0
1471951091637,1471951091715,8,78,85.0
1471951091722,1471951091817,80,95,131.0
1471951091853,1471951091942,84,89,98.0
1471951091951,1471951092004,73,53,156.0
1471951092107,1471951092230,79,123,92.0
1471951092199,1471951092268,78,69,317.0
1471951092516,1471951092584,190,68,5845.0
1471951098361,1471951098568,16,207,131.0
1471951098492,1471951098587,70,95,158.0
1471951098650,1471951098720,69,70,147.0
1471951098797,1471951098883,69,86,100.0
1471951098897,1471951098979,76,82,102.0
1471951098999,1471951099093,32,94,113.0
1471951099112,1471951099203,70,91,176.0
1471951099288,1471951099386,82,98,51.0
1471951099339,1471951099429,69,90,144.0
1471951099483,1471951099576,69,93,85.0
1471951099568,1471951099661,32,93,217.0
1471951099785,1471951099867,84,82,65.0
1471951099850,1471951099962,79,112,133.0
1471951099983,1471951100064,32,81,114.0
1471951100097,1471951100168,85,71,80.0
1471951100177,1471951100253,83,76,152.0
1471951100329,1471951100399,69,70,96.0
1471951100425,1471951100494,32,69,62.0
1471951100487,1471951100668,16,181,118.0
1471951100605,1471951100698,82,93,89.0
1471951100694,1471951100786,79,92,132.0
1471951100826,1471951100919,66,93,89.0
1471951100915,1471951101016,73,101,105.0
1471951101020,1471951101107,78,87,71.0
1471951101091,1471951101183,83,92,121.0
1471951101212,1471951101291,79,79,118.0
1471951101330,1471951101421,78,91,92.0
1471951101422,1471951101482,32,60,87.0
1471951101509,1471951101576,73,67,103.0
1471951101612,1471951101701,70,89,65.0
1471951101677,1471951101750,32,73,144.0
1471951101821,1471951101890,72,69,65.0
1471951101886,1471951101967,69,81,111.0
1471951101997,1471951102068,32,71,107.0
1471951102104,1471951102199,68,95,91.0
1471951102195,1471951102267,79,72,84.0
1471951102279,1471951102359,69,80,157.0
1471951102436,1471951102531,83,95,79.0
1471951102515,1471951102587,78,72,190.0
1471951102705,1471951102767,222,62,55.0
1471951102760,1471951102840,84,80,119.0
1471951102879,1471951102964,32,85,99.0
