PRESS_TIME,RELEASE_TIME,KEYCODE,ht,df
1471948600898,1471948601070,20,172,922.0
1471948601820,1471948601945,84,125,234.0
1471948602054,1471948602226,65,172,500.0
1471948602554,1471948602648,8,94,360.0
1471948602914,1471948603039,20,125,376.0
1471948603290,1471948603449,83,159,59.0
1471948603349,1471948603449,65,100,570.0
1471948603919,1471948603999,8,80,205.0
1471948604124,1471948604198,8,74,308.0
1471948604432,1471948604593,65,161,710.0
1471948605142,1471948605278,83,136,873.0
1471948606015,1471948606114,75,99,239.0
1471948606254,1471948606349,32,95,1122.0
1471948607376,1471948607450,72,74,136.0
1471948607512,1471948607662,65,150,244.0
1471948607756,1471948607939,83,183,245.0
1471948608001,1471948608114,32,113,788.0
1471948608789,1471948608913,84,124,186.0
1471948608975,1471948609096,79,121,309.0
1471948609284,1471948609396,32,112,959.0
1471948610243,1471948610332,66,89,198.0
1471948610441,1471948610562,69,121,215.0
1471948610656,1471948610747,32,91,725.0
1471948611381,1471948611512,67,131,147.0
1471948611528,1471948611647,79,119,482.0
1471948612010,1471948612082,77,72,1249.0
1471948613259,1471948613374,80,115,303.0
1471948613562,1471948613650,76,88,682.0
1471948614244,1471948614325,8,81,621.0
1471948614865,1471948615012,69,147,837.0
1471948615702,1471948615830,84,128,237.0
1471948615939,1471948616078,69,139,514.0
1471948616453,1471948616593,68,140,1192.0
1471948617645,1471948617733,190,88,3659.0
1471948621304,1471948621462,20,158,315.0
1471948621619,1471948621776,67,157,329.0
1471948621948,1471948622104,20,156,832.0
1471948622780,1471948622913,65,133,383.0
1471948623163,1471948623264,78,101,211.0
1471948623374,1471948623496,32,122,1187.0
1471948624561,1471948624633,89,72,261.0
1471948624822,1471948624960,79,138,295.0
1471948625117,1471948625198,85,81,299.0
1471948625416,1471948625493,32,77,724.0
1471948626140,1471948626231,8,91,200.0
1471948626340,1471948626431,8,91,497.0
1471948626837,1471948626947,32,110,907.0
1471948627744,1471948627863,82,119,181.0
1471948627925,1471948628045,79,120,716.0
1471948628641,1471948628730,85,89,542.0
1471948629183,1471948629281,71,98,583.0
1471948629766,1471948629847,72,81,238.0
1471948630004,1471948630097,32,93,531.0
1471948630535,1471948630631,79,96,284.0
1471948630819,1471948630913,85,94,344.0
1471948631163,1471948631295,84,132,211.0
1471948631374,1471948631496,32,122,579.0
1471948631953,1471948632093,65,140,234.0
1471948632187,1471948632280,32,93,265.0
1471948632452,1471948632641,83,189,567.0
1471948633019,1471948633128,76,109,344.0
1471948633363,1471948633464,79,101,679.0
1471948634042,1471948634115,8,73,510.0
1471948634552,1471948634647,73,95,659.0
1471948635211,1471948635345,68,134,244.0
1471948635455,1471948635594,69,139,264.0
1471948635719,1471948635829,32,110,422.0
1471948636141,1471948636277,79,136,340.0
1471948636481,1471948636580,78,99,255.0
1471948636736,1471948636830,32,94,877.0
1471948637613,1471948637730,82,117,179.0
1471948637792,1471948637959,65,167,669.0
1471948638461,1471948638580,84,119,260.0
1471948638721,1471948638845,73,124,405.0
1471948639126,1471948639230,78,104,1012.0
1471948640138,1471948640230,71,92,264.0
1471948640402,1471948640496,32,94,566.0
1471948640968,1471948641125,65,157,1145.0
1471948642113,1471948642260,71,147,945.0
1471948643058,1471948643186,82,128,857.0
1471948643915,1471948644012,8,97,332.0
1471948644247,1471948644394,69,147,1135.0
1471948645382,1471948645479,78,97,678.0
1471948646060,1471948646195,67,135,354.0
1471948646414,1471948646529,73,115,788.0
1471948647202,1471948647360,69,158,314.0
1471948647516,1471948647660,83,144,2214.0
1471948649730,1471948649814,191,84,602.0
1471948650332,1471948650410,45,78,845.0
1471948651177,1471948651264,8,87,682.0
1471948651859,1471948652197,16,338,250.0
1471948652109,1471948652212,191,103,4391.0
1471948656500,1471948656690,20,190,1695.0
1471948658195,1471948658263,73,68,163.0
1471948658358,1471948658514,20,156,1019.0
1471948659377,1471948659526,69,149,274.0
1471948659651,1471948659809,78,158,377.0
1471948660028,1471948660161,79,133,508.0
1471948660536,1471948660614,8,78,562.0
1471948661098,1471948661242,67,144,238.0
1471948661336,1471948661445,79,109,931.0
1471948662267,1471948662363,85,96,330.0
1471948662597,1471948662726,82,129,1007.0
1471948663604,1471948663742,65,138,388.0
1471948663992,1471948664111,71,119,495.0
1471948664487,1471948664642,69,155,296.0
1471948664783,1471948664895,32,112,738.0
1471948665521,1471948665674,69,153,294.0
1471948665815,1471948665958,65,143,409.0
1471948666224,1471948666360,67,136,371.0
1471948666595,1471948666711,72,116,257.0
1471948666852,1471948666947,32,95,610.0
1471948667462,1471948667578,79,116,444.0
1471948667906,1471948668043,70,137,247.0
1471948668153,1471948668262,32,109,880.0
1471948669033,1471948669113,89,80,236.0
1471948669269,1471948669393,79,124,249.0
1471948669518,1471948669596,85,78,266.0
1471948669784,1471948669864,32,80,817.0
1471948670601,1471948670710,84,109,189.0
1471948670790,1471948670911,79,121,261.0
1471948671051,1471948671130,32,79,486.0
1471948671537,1471948671680,65,143,315.0
1471948671852,1471948671960,84,108,218.0
1471948672070,1471948672162,84,92,218.0
