PRESS_TIME,RELEASE_TIME,KEYCODE,ht,df
1471952075254,1471952075677,16,423,216.0
1471952075470,1471952075549,84,79,239.0
1471952075709,1471952075901,72,192,224.0
1471952075933,1471952076037,69,104,152.0
1471952076085,1471952076173,32,88,440.0
1471952076525,1471952076621,76,96,192.0
1471952076717,1471952076821,79,104,264.0
1471952076981,1471952077117,65,136,336.0
1471952077317,1471952077445,78,128,104.0
1471952077421,1471952077581,83,160,248.0
1471952077669,1471952077788,32,119,360.0
1471952078029,1471952078165,87,136,280.0
1471952078309,1471952078446,82,137,104.0
1471952078413,1471952078573,69,160,232.0
1471952078645,1471952078789,82,144,616.0
1471952079261,1471952079325,220,64,144.0
1471952079405,1471952079477,8,72,128.0
1471952079533,1471952079613,8,80,128.0
1471952079661,1471952079716,8,55,120.0
1471952079781,1471952079844,8,63,328.0
1471952080109,1471952080237,69,128,392.0
1471952080501,1471952080613,82,112,120.0
1471952080621,1471952080765,69,144,384.0
1471952081005,1471952081125,32,120,296.0
1471952081301,1471952081461,65,160,288.0
1471952081589,1471952081669,76,80,160.0
1471952081749,1471952081852,76,103,280.0
1471952082029,1471952082141,69,112,600.0
1471952082629,1471952082741,71,112,351.0
1471952082980,1471952083124,69,144,352.0
1471952083332,1471952083525,68,193,697.0
1471952084029,1471952084149,76,120,328.0
1471952084357,1471952084453,89,96,472.0
1471952084829,1471952084933,32,104,592.0
1471952085421,1471952085525,77,104,87.0
1471952085508,1471952085685,65,177,241.0
1471952085749,1471952085949,71,200,367.0
1471952086116,1471952086268,8,152,344.0
1471952086460,1471952086556,68,96,232.0
1471952086692,1471952086836,69,144,136.0
1471952086828,1471952087004,32,176,760.0
1471952087588,1471952087708,84,120,224.0
1471952087812,1471952087916,79,104,272.0
1471952088084,1471952088189,32,105,577.0
1471952088661,1471952088773,80,112,384.0
1471952089045,1471952089156,76,111,127.0
1471952089172,1471952089364,65,192,376.0
1471952089548,1471952089652,89,104,208.0
1471952089756,1471952089876,69,120,224.0
1471952089980,1471952090076,82,96,88.0
1471952090068,1471952090245,83,177,754.0
1471952090822,1471952090901,190,79,3879.0
1471952094701,1471952095469,16,768,600.0
1471952095301,1471952095405,80,104,200.0
1471952095501,1471952095613,76,112,240.0
1471952095741,1471952095836,69,95,208.0
1471952095949,1471952096085,65,136,264.0
1471952096213,1471952096373,83,160,216.0
1471952096429,1471952096524,69,95,256.0
1471952096685,1471952096805,32,120,728.0
1471952097413,1471952097517,67,104,232.0
1471952097645,1471952097821,65,176,168.0
1471952097813,1471952097909,76,96,184.0
1471952097997,1471952098094,76,97,264.0
1471952098261,1471952098373,32,112,439.0
1471952098700,1471952098820,77,120,176.0
1471952098876,1471952098997,69,121,128.0
1471952099004,1471952099093,32,89,530.0
1471952099534,1471952099629,79,95,271.0
1471952099805,1471952099941,8,136,264.0
1471952100069,1471952100156,73,87,95.0
1471952100164,1471952100301,70,137,185.0
1471952100349,1471952100453,32,104,528.0
1471952100877,1471952100965,89,88,208.0
1471952101085,1471952101181,79,96,240.0
1471952101325,1471952101437,85,112,248.0
1471952101573,1471952101677,32,104,136.0
1471952101709,1471952101829,83,120,328.0
1471952102037,1471952102133,69,96,176.0
1471952102213,1471952102309,69,96,280.0
1471952102493,1471952102597,32,104,231.0
1471952102724,1471952102884,65,160,209.0
1471952102933,1471952103052,78,119,416.0
1471952103349,1471952103436,89,87,232.0
1471952103581,1471952103669,32,88,360.0
1471952103941,1471952104020,80,79,352.0
1471952104293,1471952104436,82,143,183.0
1471952104476,1471952104564,79,88,361.0
1471952104837,1471952104948,66,111,247.0
1471952105084,1471952105180,76,96,232.0
1471952105316,1471952105452,69,136,256.0
1471952105572,1471952105684,77,112,160.0
1471952105732,1471952105876,83,144,624.0
1471952106356,1471952106428,190,72,2705.0
1471952109061,1471952109597,16,536,368.0
1471952109429,1471952109517,84,88,192.0
1471952109621,1471952109693,72,72,136.0
1471952109757,1471952109869,69,112,113.0
1471952109870,1471952109948,32,78,319.0
1471952110189,1471952110269,84,80,296.0
1471952110485,1471952110653,82,168,384.0
1471952110869,1471952110965,73,96,232.0
1471952111101,1471952111182,80,81,257.0
1471952111358,1471952111453,32,95,431.0
1471952111789,1471952111885,73,96,144.0
1471952111933,1471952112037,83,104,136.0
1471952112069,1471952112157,32,88,512.0
1471952112581,1471952112669,78,88,264.0
1471952112845,1471952112964,69,119,344.0
1471952113189,1471952113253,86,64,144.0
1471952113333,1471952113469,69,136,184.0
1471952113517,1471952113605,82,88,496.0
1471952114013,1471952114117,84,104,272.0
1471952114285,1471952114389,72,104,552.0
1471952114837,1471952114924,76,87,208.0
1471952115045,1471952115141,69,96,216.0
1471952115261,1471952115372,83,111,183.0
1471952115444,1471952115532,83,88,217.0
1471952115661,1471952115772,32,111,744.0
1471952116405,1471952116493,73,88,360.0
1471952116765,1471952116860,77,95,272.0
1471952117037,1471952117149,80,112,224.0
1471952117261,1471952117364,79,103,399.0
1471952117660,1471952117756,82,96,192.0
1471952117852,1471952117956,84,104,144.0
1471952117996,1471952118204,65,208,297.0
1471952118293,1471952118380,78,87,383.0
1471952118676,1471952118764,84,88,240.0
1471952118916,1471952118980,32,64,152.0
1471952119068,1471952119172,32,104,513.0
1471952119581,1471952119740,8,159,216.0
1471952119797,1471952119917,84,120,184.0
1471952119981,1471952120060,73,79,432.0
1471952120413,1471952120468,220,55,160.0
1471952120573,1471952120692,8,119,256.0
1471952120829,1471952120852,8,23,288.0
1471952121117,1471952121220,79,103,231.0
1471952121348,1471952121444,32,96,153.0
1471952121501,1471952121629,83,128,664.0
1471952122165,1471952122276,69,111,119.0
1471952122284,1471952122380,84,96,312.0
1471952122596,1471952122716,32,120,432.0
1471952123028,1471952123140,84,112,200.0
1471952123228,1471952123348,72,120,40.0
1471952123268,1471952123436,69,168,208.0
1471952123476,1471952123580,32,104,776.0
1471952124252,1471952124388,67,136,112.0
1471952124364,1471952124460,79,96,408.0
1471952124772,1471952124884,85,112,313.0
1471952125085,1471952125181,82,96,208.0
1471952125293,1471952125437,83,144,264.0
1471952125557,1471952125677,69,120,152.0
1471952125709,1471952125805,32,96,864.0
1471952126573,1471952126645,71,72,136.0
1471952126709,1471952126757,70,48,208.0
1471952126917,1471952127045,8,128,200.0
1471952127117,1471952127213,8,96,144.0
1471952127261,1471952127421,70,160,240.0
1471952127501,1471952127581,8,80,144.0
1471952127645,1471952127732,8,87,144.0
1471952127789,1471952127925,70,136,448.0
1471952128237,1471952128324,79,87,280.0
1471952128517,1471952128669,82,152,184.0
1471952128701,1471952128812,32,111,736.0
1471952129437,1471952129589,70,152,320.0
1471952129757,1471952129821,85,64,256.0
1471952130013,1471952130101,84,88,176.0
1471952130189,1471952130317,69,128,472.0
1471952130661,1471952130781,8,120,768.0
1471952131429,1471952131500,85,71,199.0
1471952131628,1471952131773,84,145,128.0
1471952131756,1471952131925,69,169,793.0
1471952132549,1471952132637,8,88,152.0
1471952132701,1471952132796,8,95,159.0
1471952132860,1471952132973,69,113,529.0
1471952133389,1471952133476,8,87,152.0
