PRESS_TIME,RELEASE_TIME,KEYCODE,ht,df
1471949965509,1471949965780,16,271,160.0
1471949965669,1471949965774,84,105,264.0
1471949965933,1471949966037,72,104,63.0
1471949965996,1471949966084,69,88,129.0
1471949966125,1471949966245,32,120,144.0
1471949966269,1471949966380,65,111,232.0
1471949966501,1471949966613,86,112,151.0
1471949966652,1471949966796,73,144,137.0
1471949966789,1471949966933,65,144,168.0
1471949966957,1471949967068,84,111,80.0
1471949967037,1471949967228,73,191,71.0
1471949967108,1471949967205,79,97,113.0
1471949967221,1471949967341,78,120,87.0
1471949967308,1471949967444,32,136,184.0
1471949967492,1471949967597,67,105,97.0
1471949967589,1471949967700,79,111,191.0
1471949967780,1471949967852,76,72,136.0
1471949967916,1471949968021,76,105,97.0
1471949968013,1471949968084,69,71,159.0
1471949968172,1471949968300,71,128,88.0
1471949968260,1471949968365,69,105,97.0
1471949968357,1471949968485,32,128,231.0
1471949968588,1471949968700,72,112,80.0
1471949968668,1471949968788,65,120,89.0
1471949968757,1471949968861,68,104,80.0
1471949968837,1471949968965,32,128,168.0
1471949969005,1471949969148,65,143,135.0
1471949969140,1471949969245,76,105,120.0
1471949969260,1471949969437,82,177,56.0
1471949969316,1471949969461,69,145,113.0
1471949969429,1471949969556,65,127,112.0
1471949969541,1471949969644,68,103,184.0
1471949969725,1471949969821,89,96,71.0
1471949969796,1471949969941,32,145,368.0
1471949970164,1471949970301,84,137,65.0
1471949970229,1471949970452,82,223,487.0
1471949970716,1471949970812,65,96,184.0
1471949970900,1471949971045,73,145,193.0
1471949971093,1471949971181,78,88,104.0
1471949971197,1471949971277,69,80,159.0
1471949971356,1471949971445,68,89,81.0
1471949971437,1471949971557,32,120,176.0
1471949971613,1471949971692,80,79,296.0
1471949971909,1471949972005,73,96,239.0
1471949972148,1471949972246,76,98,184.0
1471949972332,1471949972396,79,64,89.0
1471949972421,1471949972541,84,120,128.0
1471949972549,1471949972621,83,72,143.0
1471949972692,1471949972772,190,80,320.0
1471949973012,1471949973077,32,65,5768.0
1471949978780,1471949979164,16,384,336.0
1471949979116,1471949979204,79,88,225.0
1471949979341,1471949979469,78,128,104.0
1471949979445,1471949979581,32,136,79.0
1471949979524,1471949979660,84,136,113.0
1471949979637,1471949979780,72,143,87.0
1471949979724,1471949979797,69,73,64.0
1471949979788,1471949979901,32,113,160.0
1471949979948,1471949980092,80,144,80.0
1471949980028,1471949980188,76,160,129.0
1471949980157,1471949980292,65,135,159.0
1471949980316,1471949980420,78,104,96.0
1471949980412,1471949980492,69,80,176.0
1471949980588,1471949980685,188,97,104.0
1471949980692,1471949980836,32,144,192.0
1471949980884,1471949981005,68,121,65.0
1471949980949,1471949981045,79,96,199.0
1471949981148,1471949981237,79,89,160.0
1471949981308,1471949981348,82,40,64.0
1471949981372,1471949981460,82,88,832.0
1471949982204,1471949982292,8,88,113.0
1471949982317,1471949982420,83,103,112.0
1471949982429,1471949982556,32,127,280.0
1471949982709,1471949982821,67,112,103.0
1471949982812,1471949982933,76,121,449.0
1471949983261,1471949983389,79,128,151.0
1471949983412,1471949983548,83,136,144.0
1471949983556,1471949983701,73,145,88.0
1471949983644,1471949983772,78,128,97.0
1471949983741,1471949983821,71,80,232.0
1471949983973,1471949984077,190,104,7911.0
1471949991884,1471949991973,49,89,128.0
1471949992012,1471949992132,190,120,145.0
1471949992157,1471949992260,53,103,167.0
1471949992324,1471949992484,32,160,288.0
1471949992612,1471949992748,77,136,145.0
1471949992757,1471949992884,73,127,263.0
1471949993020,1471949993101,76,81,152.0
1471949993172,1471949993268,76,96,208.0
1471949993380,1471949993590,73,210,96.0
1471949993476,1471949993591,79,115,105.0
1471949993581,1471949993732,78,151,120.0
1471949993701,1471949993820,32,119,344.0
1471949994045,1471949994157,86,112,143.0
1471949994188,1471949994309,73,121,304.0
1471949994492,1471949994604,83,112,144.0
1471949994636,1471949994822,73,186,393.0
1471949995029,1471949995132,84,103,136.0
1471949995165,1471949995302,79,137,119.0
1471949995284,1471949995452,82,168,392.0
1471949995676,1471949995780,83,104,96.0
1471949995772,1471949995900,32,128,240.0
1471949996012,1471949996100,87,88,96.0
1471949996108,1471949996204,73,96,201.0
1471949996309,1471949996372,76,63,144.0
1471949996453,1471949996572,76,119,103.0
1471949996556,1471949996708,32,152,120.0
1471949996676,1471949996837,70,161,249.0
1471949996925,1471949997036,76,111,183.0
1471949997108,1471949997180,79,72,144.0
1471949997252,1471949997348,79,96,81.0
1471949997333,1471949997436,68,103,112.0
1471949997445,1471949997588,32,143,359.0
1471949997804,1471949998044,16,240,137.0
1471949997941,1471949998068,65,127,240.0
1471949998181,1471949998284,84,103,215.0
1471949998396,1471949998516,76,120,305.0
1471949998701,1471949998805,65,104,175.0
1471949998876,1471949998973,78,97,393.0
1471949999269,1471949999381,84,112,103.0
1471949999372,1471949999460,65,88,120.0
1471949999492,1471949999596,32,104,249.0
1471949999741,1471949999780,69,39,295.0
1471950000036,1471950000164,65,128,104.0
1471950000140,1471950000244,67,104,112.0
1471950000252,1471950000380,72,128,161.0
1471950000413,1471950000580,32,167,183.0
1471950000596,1471950000749,68,153,104.0
1471950000700,1471950000828,65,128,161.0
1471950000861,1471950000964,89,103,87.0
1471950000948,1471950001060,32,112,144.0
1471950001092,1471950001220,79,128,88.0
1471950001180,1471950001284,70,104,88.0
1471950001268,1471950001436,32,168,144.0
1471950001412,1471950001516,84,104,88.0
1471950001500,1471950001620,72,120,88.0
1471950001588,1471950001684,69,96,104.0
1471950001692,1471950001812,32,120,144.0
1471950001836,1471950001956,79,120,305.0
1471950002141,1471950002236,8,95,103.0
1471950002244,1471950002412,16,168,88.0
1471950002332,1471950002428,79,96,216.0
1471950002548,1471950002653,76,105,192.0
1471950002740,1471950002836,89,96,352.0
1471950003092,1471950003212,77,120,464.0
1471950003556,1471950003653,80,97,448.0
1471950004004,1471950004108,73,104,176.0
1471950004180,1471950004324,67,144,96.0
1471950004276,1471950004404,83,128,272.0
1471950004548,1471950004644,190,96,2448.0
1471950006996,1471950007284,16,288,192.0
1471950007188,1471950007308,73,120,272.0
1471950007460,1471950007532,222,72,232.0
1471950007692,1471950007781,76,89,176.0
1471950007868,1471950007956,76,88,216.0
1471950008084,1471950008236,32,152,280.0
1471950008364,1471950008468,71,104,96.0
1471950008460,1471950008564,73,104,120.0
1471950008580,1471950008708,86,128,96.0
1471950008676,1471950008764,69,88,96.0
1471950008772,1471950008901,32,129,120.0
1471950008892,1471950009004,73,112,64.0
1471950008956,1471950009069,84,113,104.0
1471950009060,1471950009204,32,144,568.0
1471950009628,1471950009748,84,120,88.0
1471950009716,1471950009844,79,128,89.0
1471950009805,1471950009964,32,159,87.0
1471950009892,1471950010012,89,120,96.0
1471950009988,1471950010124,79,136,72.0
1471950010060,1471950010189,85,129,88.0
1471950010148,1471950010300,32,152,176.0
1471950010324,1471950010445,84,121,80.0
1471950010404,1471950010508,79,104,208.0
1471950010612,1471950010701,77,89,152.0
1471950010764,1471950010860,77,96,424.0
1471950011188,1471950011316,79,128,136.0
1471950011324,1471950011428,82,104,80.0
1471950011404,1471950011540,79,136,128.0
1471950011532,1471950011620,87,88,312.0
1471950011844,1471950011948,190,104,2600.0
1471950014444,1471950014684,16,240,184.0
1471950014628,1471950014740,73,112,152.0
1471950014780,1471950014884,70,104,80.0
1471950014860,1471950015004,32,144,128.0
1471950014988,1471950015100,84,112,72.0
1471950015060,1471950015196,72,136,104.0
1471950015164,1471950015252,69,88,73.0
1471950015237,1471950015357,32,120,151.0
1471950015388,1471950015612,16,224,128.0
1471950015516,1471950015620,80,104,192.0
1471950015708,1471950015788,69,80,113.0
1471950015821,1471950015900,78,79,175.0
1471950015996,1471950016140,83,144,176.0
1471950016172,1471950016293,75,121,128.0
1471950016300,1471950016404,69,104,112.0
1471950016412,1471950016540,83,128,136.0
1471950016548,1471950016652,32,104,185.0
1471950016733,1471950016852,72,119,47.0
1471950016780,1471950016940,65,160,664.0
1471950017444,1471950017564,86,120,112.0
1471950017556,1471950017654,69,98,168.0
1471950017724,1471950017885,32,161,152.0
1471950017876,1471950017988,65,112,104.0
1471950017980,1471950018108,78,128,360.0
1471950018340,1471950018444,89,104,136.0
1471950018476,1471950018612,32,136,208.0
1471950018684,1471950018780,76,96,200.0
1471950018884,1471950018972,85,88,104.0
1471950018988,1471950019100,67,112,144.0
1471950019132,1471950019252,75,120,112.0
1471950019244,1471950019389,32,145,104.0
1471950019348,1471950019476,65,128,120.0
1471950019468,1471950019572,84,104,88.0
1471950019556,1471950019700,32,144,168.0
1471950019724,1471950019828,65,104,112.0
1471950019836,1471950019900,76,64,120.0
1471950019956,1471950020060,76,104,192.0
1471950020148,1471950020268,188,120,80.0
1471950020228,1471950020404,32,176,264.0
1471950020492,1471950020612,84,120,81.0
1471950020573,1471950020676,72,103,119.0
1471950020692,1471950020764,69,72,144.0
1471950020836,1471950020948,89,112,240.0
1471950021076,1471950021156,32,80,272.0
1471950021348,1471950021389,8,41,160.0
1471950021508,1471950021580,8,72,257.0
1471950021765,1471950021876,32,111,279.0
1471950022044,1471950022164,67,120,80.0
1471950022124,1471950022244,79,120,73.0
1471950022197,1471950022292,85,95,151.0
1471950022348,1471950022428,76,80,64.0
1471950022412,1471950022516,68,104,80.0
1471950022492,1471950022636,32,144,136.0
1471950022628,1471950022732,66,104,64.0
1471950022692,1471950022796,69,104,112.0
1471950022804,1471950022924,32,120,144.0
1471950022948,1471950023044,85,96,192.0
1471950023140,1471950023228,78,88,352.0
1471950023492,1471950023644,83,152,120.0
