PRESS_TIME,RELEASE_TIME,KEYCODE,ht,df
1471950848146,1471950848279,16,133,117.0
1471950848263,1471950848342,84,79,143.0
1471950848406,1471950848478,72,72,168.0
1471950848574,1471950848653,87,79,480.0
1471950849054,1471950849110,8,56,280.0
1471950849334,1471950849422,69,88,368.0
1471950849702,1471950849790,8,88,192.0
1471950849894,1471950849942,8,48,80.0
1471950849974,1471950850070,69,96,128.0
1471950850102,1471950850190,32,88,520.0
1471950850622,1471950850734,87,112,144.0
1471950850766,1471950850846,73,80,216.0
1471950850982,1471950851038,78,56,96.0
1471950851078,1471950851182,68,104,112.0
1471950851190,1471950851278,32,88,112.0
1471950851302,1471950851462,87,160,104.0
1471950851406,1471950851574,65,168,120.0
1471950851526,1471950851665,68,139,120.0
1471950851646,1471950851734,32,88,120.0
1471950851766,1471950851806,83,40,128.0
1471950851894,1471950851958,8,64,160.0
1471950852054,1471950852142,8,88,168.0
1471950852222,1471950852312,8,90,80.0
1471950852302,1471950852382,83,80,128.0
1471950852430,1471950852494,32,64,104.0
1471950852534,1471950852614,83,80,256.0
1471950852790,1471950852878,84,88,136.0
1471950852926,1471950853030,82,104,152.0
1471950853078,1471950853182,79,104,208.0
1471950853286,1471950853374,78,88,192.0
1471950853478,1471950853542,71,64,152.0
1471950853630,1471950853702,32,72,56.0
1471950853686,1471950853790,65,104,160.0
1471950853846,1471950853910,68,64,32.0
1471950853878,1471950854006,78,128,256.0
1471950854134,1471950854239,32,105,313.0
1471950854447,1471950854511,8,64,176.0
1471950854623,1471950854679,8,56,144.0
1471950854767,1471950854823,8,56,176.0
1471950854943,1471950855007,78,64,80.0
1471950855023,1471950855087,68,64,80.0
1471950855103,1471950855175,32,72,304.0
1471950855407,1471950855495,71,88,216.0
1471950855623,1471950855735,85,112,144.0
1471950855767,1471950855831,83,64,112.0
1471950855879,1471950855967,84,88,240.0
1471950856119,1471950856199,73,80,208.0
1471950856327,1471950856442,78,115,96.0
1471950856423,1471950856519,71,96,504.0
1471950856927,1471950857039,190,112,3472.0
1471950860399,1471950860606,16,207,96.0
1471950860495,1471950860582,74,87,728.0
1471950861223,1471950861302,85,79,103.0
1471950861326,1471950861398,83,72,137.0
1471950861463,1471950861510,82,47,520.0
1471950861983,1471950862046,8,63,159.0
1471950862142,1471950862206,8,64,232.0
1471950862374,1471950862470,84,96,224.0
1471950862598,1471950862695,32,97,88.0
1471950862686,1471950862809,87,123,104.0
1471950862790,1471950862926,65,136,96.0
1471950862886,1471950862990,78,104,272.0
1471950863158,1471950863270,84,112,113.0
1471950863271,1471950863390,69,119,95.0
1471950863366,1471950863481,68,115,96.0
1471950863462,1471950863542,32,80,320.0
1471950863782,1471950863902,82,120,128.0
1471950863910,1471950863990,79,80,328.0
1471950864238,1471950864286,8,48,176.0
1471950864414,1471950864470,8,56,80.0
1471950864494,1471950864534,84,40,96.0
1471950864590,1471950864710,79,120,240.0
1471950864830,1471950864902,32,72,112.0
