PRESS_TIME,RELEASE_TIME,KEYCODE,ht,df
1471952973958,1471952974036,78,78,164.0
1471952974122,1471952977265,20,3143,162.0
1471952974284,1471952974340,32,56,75.0
1471952974359,1471952974439,84,80,92.0
1471952974451,1471952974527,72,76,83.0
1471952974534,1471952974631,69,97,97.0
1471952974631,1471952974739,82,108,80.0
1471952974711,1471952974811,69,100,186.0
1471952974897,1471952974925,32,28,425.0
1471952975322,1471952976714,8,1392,2626.0
1471952977948,1471952978401,20,453,935.0
1471952978883,1471952978979,16,96,689.0
1471952979572,1471952979896,16,324,160.0
1471952979732,1471952979804,78,72,333.0
1471952980065,1471952980140,79,75,141.0
1471952980206,1471952980282,32,76,118.0
1471952980324,1471952980396,84,72,87.0
1471952980411,1471952980470,72,59,106.0
1471952980517,1471952980585,69,68,82.0
1471952980599,1471952980707,82,108,76.0
1471952980675,1471952980735,69,60,104.0
1471952980779,1471952980852,32,73,72.0
1471952980851,1471952980950,87,99,104.0
1471952980955,1471952980995,73,40,143.0
1471952981098,1471952981157,76,59,117.0
1471952981215,1471952981290,76,75,125.0
1471952981340,1471952981420,32,80,182.0
1471952981522,1471952981593,66,71,92.0
1471952981614,1471952981695,69,81,117.0
1471952981731,1471952981778,32,47,109.0
1471952981840,1471952981940,80,100,224.0
1471952982064,1471952982159,76,95,111.0
1471952982175,1471952982246,69,71,135.0
1471952982310,1471952982375,78,65,107.0
1471952982417,1471952982469,84,52,135.0
1471952982552,1471952982640,89,88,173.0
1471952982725,1471952982793,32,68,129.0
1471952982854,1471952982941,79,87,102.0
1471952982956,1471952983032,70,76,117.0
1471952983073,1471952983130,32,57,163.0
1471952983236,1471952983315,79,79,131.0
1471952983367,1471952983439,84,72,157.0
1471952983524,1471952983568,72,44,134.0
1471952983658,1471952983773,69,115,88.0
1471952983746,1471952983865,82,119,154.0
1471952983900,1471952984008,83,108,121.0
1471952984021,1471952984101,190,80,3354.0
1471952987375,1471952987531,16,156,93.0
1471952987468,1471952987568,87,100,190.0
1471952987658,1471952987754,72,96,100.0
1471952987758,1471952987874,65,116,130.0
1471952987888,1471952987976,84,88,128.0
1471952988016,1471952988088,32,72,171.0
1471952988187,1471952988250,73,63,76.0
1471952988263,1471952988355,83,92,114.0
1471952988377,1471952988425,32,48,91.0
1471952988468,1471952988552,84,84,72.0
1471952988540,1471952988608,72,68,76.0
1471952988616,1471952988688,69,72,90.0
1471952988706,1471952988774,32,68,99.0
1471952988805,1471952988945,83,140,165.0
1471952988970,1471952989042,84,72,106.0
1471952989076,1471952989156,79,80,173.0
1471952989249,1471952989324,67,75,105.0
1471952989354,1471952989430,75,76,161.0
1471952989515,1471952989583,32,68,154.0
1471952989669,1471952989769,80,100,162.0
1471952989831,1471952989911,82,80,197.0
1471952990028,1471952990112,73,84,170.0
1471952990198,1471952990262,67,64,178.0
1471952990376,1471952990444,69,68,138.0
1471952990514,1471952990606,32,92,320.0
1471952990834,1471952990930,68,96,158.0
1471952990992,1471952991104,79,112,134.0
1471952991126,1471952991194,73,68,136.0
1471952991262,1471952991354,78,92,125.0
1471952991387,1471952991459,71,72,190.0
1471952991577,1471952991930,16,353,201.0
1471952991778,1471952991902,191,124,2927.0
1471952994705,1471952994998,20,293,195.0
1471952994900,1471952994988,72,88,255.0
1471952995155,1471952995247,69,92,139.0
1471952995294,1471952995370,32,76,232.0
1471952995526,1471952995618,77,92,104.0
1471952995630,1471952995751,65,121,149.0
1471952995779,1471952995859,68,80,169.0
1471952995948,1471952996028,69,80,98.0
1471952996046,1471952996098,32,52,116.0
1471952996162,1471952996230,72,68,147.0
1471952996309,1471952996369,73,60,72.0
1471952996381,1471952996465,83,84,96.0
1471952996477,1471952996545,32,68,178.0
1471952996655,1471952996759,77,104,130.0
1471952996785,1471952996914,65,129,100.0
1471952996885,1471952996991,82,106,104.0
1471952996989,1471952997073,75,84,153.0
1471952997142,1471952997210,32,68,326.0
1471952997468,1471952997564,66,96,178.0
1471952997646,1471952997706,89,60,155.0
1471952997801,1471952997866,32,65,166.0
1471952997967,1471952998115,67,148,125.0
1471952998092,1471952998195,65,103,208.0
1471952998300,1471952998412,77,112,181.0
1471952998481,1471952998609,80,128,1116.0
1471952999597,1471952999669,65,72,127.0
1471952999724,1471952999801,73,77,175.0
1471952999899,1471952999974,71,75,135.0
1471953000034,1471953000078,78,44,809.0
1471953000843,1471953000907,73,64,161.0
1471953001004,1471953001044,78,40,68.0
1471953001072,1471953001128,71,56,98.0
1471953001170,1471953001246,32,76,270.0
1471953001440,1471953001592,65,152,467.0
1471953001907,1471953002007,71,100,189.0
1471953002096,1471953002203,65,107,370.0
1471953002466,1471953002555,73,89,127.0
1471953002593,1471953002649,83,56,494.0
1471953003087,1471953003126,8,39,113.0
1471953003200,1471953003276,8,76,721.0
1471953003921,1471953003992,78,71,345.0
1471953004266,1471953004331,8,65,359.0
1471953004625,1471953004685,73,60,160.0
1471953004785,1471953004829,78,44,76.0
1471953004861,1471953004937,83,76,143.0
1471953005004,1471953005092,84,88,174.0
1471953005178,1471953005262,32,84,685.0
1471953005863,1471953005935,72,72,342.0
1471953006205,1471953006325,79,120,233.0
1471953006438,1471953006506,80,68,245.0
1471953006683,1471953006819,73,136,200.0
