PRESS_TIME,RELEASE_TIME,KEYCODE,ht,df
1471952885554,1471952885762,16,208,128.0
1471952885682,1471952885799,87,117,185.0
1471952885867,1471952886015,69,148,198.0
1471952886065,1471952886171,32,106,384.0
1471952886449,1471952886576,83,127,328.0
1471952886777,1471952886851,79,74,381.0
1471952887158,1471952887265,78,107,1423.0
1471952888581,1471952888634,192,53,583.0
1471952889164,1471952889318,84,154,189.0
1471952889353,1471952889448,32,95,276.0
1471952889629,1471952889772,83,143,200.0
1471952889829,1471952889951,69,122,214.0
1471952890043,1471952890191,69,148,187.0
1471952890230,1471952890337,77,107,218.0
1471952890448,1471952890543,32,95,161.0
1471952890609,1471952890763,84,154,58.0
1471952890667,1471952890768,79,101,180.0
1471952890847,1471952890953,32,106,197.0
1471952891044,1471952891158,72,114,108.0
1471952891152,1471952891291,65,139,303.0
1471952891455,1471952891593,86,138,209.0
1471952891664,1471952891828,69,164,197.0
1471952891861,1471952891994,32,133,252.0
1471952892113,1471952892256,65,143,133.0
1471952892246,1471952892405,78,159,275.0
1471952892521,1471952892633,89,112,216.0
1471952892737,1471952892811,32,74,418.0
1471952893155,1471952893250,80,95,210.0
1471952893365,1471952893444,79,79,191.0
1471952893556,1471952893694,83,138,154.0
1471952893710,1471952893790,73,80,371.0
1471952894081,1471952894234,84,153,148.0
1471952894229,1471952894303,73,74,468.0
1471952894697,1471952894793,86,96,168.0
1471952894865,1471952895034,69,169,271.0
1471952895136,1471952895237,32,101,230.0
1471952895366,1471952895445,73,79,471.0
1471952895837,1471952895951,78,114,392.0
1471952896229,1471952896388,67,159,138.0
1471952896367,1471952896473,79,106,164.0
1471952896531,1471952896642,77,111,116.0
1471952896647,1471952896817,69,170,401.0
1471952897048,1471952897159,32,111,222.0
1471952897270,1471952897418,84,148,205.0
1471952897475,1471952897566,72,91,135.0
1471952897610,1471952897775,69,165,194.0
1471952897804,1471952897931,82,127,173.0
1471952897977,1471952898142,69,165,769.0
1471952898746,1471952898831,190,85,5871.0
1471952904617,1471952904893,16,276,165.0
1471952904782,1471952904882,73,100,314.0
1471952905096,1471952905250,84,154,645.0
1471952905741,1471952905852,192,111,182.0
1471952905923,1471952906088,83,165,230.0
1471952906153,1471952906249,32,96,323.0
1471952906476,1471952906614,78,138,133.0
1471952906609,1471952906699,79,90,175.0
1471952906784,1471952906933,84,149,257.0
1471952907041,1471952907152,32,111,248.0
1471952907289,1471952907443,87,154,203.0
1471952907492,1471952907614,79,122,236.0
1471952907728,1471952907877,82,149,160.0
1471952907888,1471952907983,75,95,196.0
1471952908084,1471952908158,73,74,106.0
1471952908190,1471952908280,78,90,135.0
1471952908325,1471952908473,71,148,138.0
1471952908463,1471952908574,32,111,896.0
1471952909359,1471952909460,86,101,192.0
1471952909551,1471952909753,69,202,236.0
1471952909787,1471952909925,82,138,112.0
1471952909899,1471952909984,89,85,157.0
1471952910056,1471952910162,32,106,143.0
1471952910199,1471952910342,87,143,195.0
1471952910394,1471952910537,69,143,224.0
1471952910618,1471952910719,76,101,146.0
1471952910764,1471952910859,76,95,610.0
1471952911374,1471952911454,190,80,4449.0
1471952915823,1471952916412,16,589,490.0
1471952916313,1471952916433,89,120,190.0
1471952916503,1471952916625,79,122,180.0
1471952916683,1471952916768,85,85,183.0
